#separator:Comma
#html:false
#notetype:Basic
#deck:iball的小屋::电影::摩登家庭
#columns:Front,Back
"Yeah, just a sec.","好的，等一下。

释义：等一下
音标：/dʒʌst ə sek/"
"You be there wind in his back, not the spit in his face!","你要做他背后的风（支持他），而不是脸上的唾沫（拆他台）！

释义：做背后的风（支持），不做脸上的唾沫（拆台）
音标：/bi ðə wɪnd ɪn ˈsʌmwʌnz bæk nɑt ðə spɪt ɪn ˈsʌmwʌnz feɪs/"
"She gave me a picture of me as an old-time sheriff.","她给了我一张我扮成老式西部警长的照片。

释义：老式西部警长
音标：/oʊld taɪm ˈʃɛrɪf/"
"We ask that all mall-walkers stay to the right.","请所有在商场遛弯的人靠右侧行走。

释义：在商场里散步锻炼的人
音标：/mɔːl ˈwɔːkər/"
"you wanna help me with the frosting?","你想帮我弄蛋糕糖霜吗？

释义：（蛋糕的）糖霜，裱花
音标：/ˈfrɔːstɪŋ/"
"would you ever pretend she got mono for a few months and then tell everyone the baby's yours?","你会不会假装她得了单核细胞增多症休几个月，然后告诉大家孩子是你的？

释义：单核细胞增多症（俗称接吻病）
音标：/ˈmoʊnoʊ/"
"I was just dropping off some laundry, this is a bad time?","我就是来送点脏衣服，来得不是时候吗？

释义：顺便送来，放下
音标：/drɑːp ɔːf/"
"she is like completely freaking out and emberassing me.","她简直完全抓狂了，让我丢尽脸。

释义：抓狂，情绪失控
音标：/ˈfriːkɪŋ aʊt/"
"I want you to just come straight out with it, you can do this!","我要你直接坦白说出来，你能做到的！

释义：直截了当说出来，坦白
音标：/kʌm streɪt aʊt wɪð ɪt/"
"Mitchell, you're a little uptight, kids bring chaos and you don't handle well.","Mitchell，你有点太拘谨了，孩子会带来混乱，而你处理不好。

释义：紧张拘谨的，放不开的
音标：/ˈʌptaɪt/"
"Okay, people, let's all chillax!","好了各位，大家都冷静放松一下！

释义：冷静放松（chill+relax）
音标：/tʃɪˈlæks/"
"he was a bit of a drama queen.","他有点太戏剧化了/大惊小怪。

释义：戏剧女王，大惊小怪的人
音标：/ˈdrɑːmə kwiːn/"
"Let me see that little potsticker!","让我看看这个小锅贴！

释义：锅贴（此处对婴儿的昵称）
音标：/ˈpɑːtstɪkər/"
"I'd better go charge the camcorder.","我最好去给摄像机充个电。

释义：给摄像机充电
音标：/tʃɑːrdʒ ðə ˈkæmkɔːrdər/"
"If Hayley never wakes up on a beach in Florida, half-naked I've done my job.","如果Hayley不会在佛罗里达的海滩上半裸着醒来，我就算尽责了。

释义：半裸的
音标：/hæf ˈneɪkɪd/"
"Kids, breakfast! Kids? Phil, would you get them? Yeah, just a sec.","孩子们，吃早饭了！孩子们？菲尔，你叫一下他们好吗？好，稍等一下。

释义：稍等一下
音标：/dʒʌst ə sek/"
"That is so - Kids, get down here! Why are you guys yelling at us? When we're way upstairs, just text me.","那就……孩子们，下来！你们为什么冲我们喊？我们在楼上时，给我发短信就行。

释义：下来这里
音标：/ɡet daʊn hɪr/"
"What's wrong with it? - Honey, do you have anything to say to your daughter about her skirt? Sorry? Oh yeah, that looks really cute, sweetheart! Thanks! - No, it's way too short, people know you're a girl you don't need to prove it to them.","不，这裙子实在太短了。别人知道你是个女孩，你不需要向他们证明。

释义：实在太短了
音标：/weɪ tuː ʃɔːrt/"
"Luke got his head stuck in the banister again.","卢克的头又卡在栏杆里了。

释义：头被卡住了
音标：/ɡɑːt hɪz hed stʌk/"
"Come on! Iwas out of control growing up.","拜托！我年轻时也毫无节制。

释义：失控；毫无节制
音标：/aʊt əv kənˈtroʊl/"
"I just don't want my kids to make the same bad mistakes I made.","我只是不想让孩子犯我犯过的同样错误。

释义：犯同样的错误
音标：/meɪk ðə seɪm bæd mɪˈsteɪks/"
"If Hayley never wakes up on a beach in Florida, half-naked I've done my job.","如果海莉没有半裸着在佛罗里达的海滩上醒来，我就算尽到责任了。

释义：半裸的
音标：/ˌhæf ˈneɪkɪd/"
"That was a penalty! Gloria, they're 0 and 6, let's take it down a notch.","那是个犯规！格洛丽亚，他们零胜六负，别那么激动。

释义：收敛一点；别那么激动
音标：/teɪk ɪt daʊn ə nɑːtʃ/"
"You two broke up.","所以，这就是那个重大消息。你们俩分手了。

释义：分手了
音标：/broʊk ʌp/"
"Well a baby wasn't gonna help that, anyway! Let me tell you, you'll be better off, because he was a bit of a drama queen.","我跟你说，分开对你反而更好，因为他有点太爱演了。

释义：过得更好；处境更好
音标：/ˈbetər ɔːf/"
"Stop, stop, you come into my house and you insult me and my boyfriend, who is, by the way, not that dramatic! We've adopted a baby.","你跑到我家来侮辱我和我男朋友，顺便说一句，他根本没那么多戏！我们领养了一个孩子。

释义：顺便说一下
音标：/baɪ ðə weɪ/"
"Manny, stop him! Damn it, Manny! Come on, coach! You've gotta take that kid out! You wanna take him out? How about I take you out!? Honey, honey Why don't you worry about your son! He'd spend the first half with his hands in his pants! I wanted to tell her that for the last six weeks I'm Josh, Brian's dad.","教练，你得把那个孩子换下去！

释义：把那个孩子换下场
音标：/teɪk ðæt kɪd aʊt/"
"We've just adopted her from Vietnam and we're bringing her home for the first time.","我们刚从越南领养了她，这是第一次带她回家。

释义：把她带回家
音标：/ˈbrɪŋɪŋ hɜːr hoʊm/"
"You and you're wife must be thrilled! Sorry, sorry, sorry, daddy needed snacks.","你和你妻子一定激动坏了！

释义：一定非常激动
音标：/mʌst biː θrɪld/"
"So, what are we talking about? We have been together for five years now? And we decided we really wanted to have a baby so, we initially asked one of our lesbian friends to be a surrogate Then we figured, they're already mean enough, can you imagine one of them pregnant? No, thank you.","我们最初请一位同性恋朋友做代孕母亲。

释义：做代孕母亲
音标：/biː ə ˈsɜːrəɡeɪt/"
"You saw that right? Everybody fonding up to Lillian, then you walk on and suddenly it's all I'm gonna give a speech.","你就是不讲话，然后突然之间就说要致辞。

释义：发表讲话
音标：/ɡɪv ə spiːtʃ/"
"But this baby would be growing up in a crowded orphanage if it wasn't for us creampuffs and you know what, to all of you who judge, hear this, love knows no race, creed or gender and shame on you! You small minded, ignorant fe- Mitchell? - What? She's got the creampuffs.","爱不分种族、信仰或性别。

释义：爱不分种族、信仰或性别
音标：/lʌv noʊz noʊ reɪs kriːd ɔːr ˈdʒendər/"
"Her name is Lilly Exciting! Just turn it off.","太棒了！把它关掉。

释义：关掉它
音标：/tɜːrn ɪt ɔːf/"
"MODERN FAMILY SEASON 1 EPISODE 1 Buddy, why do you keep getting stuk like this? I can get out this time.","伙计，你怎么老卡成这样？我这次能出来。

释义：这次能脱身
音标：/ɡet aʊt ðɪs taɪm/"
"I'm just gonna say it he needs to be checked by a specialist.","我直说了，他需要让专科医生检查一下。

释义：让专科医生检查
音标：/tʃekt baɪ ə ˈspeʃəlɪst/"
"There! Be free, Excalibur! I'm having a friend over today.","今天有个朋友要来家里。

释义：请朋友来家里
音标：/ˈhævɪŋ ə frend ˈoʊvər/"
"Luke, Alex, why don't you take it outside, okay? - And do what? Fighting a son, it would be a nice change.","卢克、亚历克斯，你们到外面去，好吗？

释义：到外面去解决
音标：/teɪk ɪt ˌaʊtˈsaɪd/"
"I'm kidding! Who's the boy? - His name is Dylan I might as well just tell him not to come, because you guys are just going to embarrass me again.","我还不如直接叫他别来，因为你们肯定又会让我难堪。

释义：倒不如；干脆
音标：/maɪt æz wel/"
"Hang on a second, you're fifteen, it's the first time you've had a boy over.","等一下，你才十五岁，这是你第一次请男孩来家里。

释义：等一下
音标：/hæŋ ɑːn ə ˈsekənd/"
"I'm bound to be a little suprised, but We're not gonna embarrass you! I'd better go charge the camcorder.","我难免会有点惊讶，但我们不会让你难堪！

释义：难免会有点
音标：/baʊnd tə biː ə ˈlɪtəl/"
"I surf the web, I text.","我会上网，会发短信。

释义：上网；浏览网页
音标：/sɜːrf ðə web/"
"LOL, Laugh Out Loud, OMG, Oh My God WTF, Why The Face You know, I know all the dances to High School Musical, so.","我知道《歌舞青春》里所有的舞步。

释义：会跳所有的舞
音标：/noʊ ɔːl ðə ˈdænsɪz/"
"MOM! DAD! - What happend? Luke just shot me! - I didn't mean to! Are you okay? - No, the little bitch shot me! Language! They're only plastic bb's! It was an accident! What did I tell you what happened if you got him a gun? Deal with this! Buddy Uncool.","我不是故意的！

释义：不是故意的
音标：/ˈdɪdənt miːn tuː/"
"We were serious about that? Yes, we were and now you have to follow through.","是的，我们是认真的，现在你必须说到做到。

释义：贯彻到底；说到做到
音标：/ˈfɑːloʊ θruː/"
"Come say hello, Lilly.","过来和莉莉打个招呼。

释义：过来打个招呼
音标：/kʌm seɪ həˈloʊ/"
"What's more importand here, dad? You can shoot him afterwards, he'll be home at two.","爸爸，这里更重要的是什么？

释义：更重要的是
音标：/wʌts mɔːr/"
"- I can't shoot him at two, showing our house at two.","我两点不能开枪打他，两点有人来看我们的房子。

释义：两点带人来看房
音标：/ˈʃoʊɪŋ aʊər haʊs æt tuː/"
"- Yeah, I guess that works for me.","好，我觉得这个时间可以。

释义：我没问题；对我合适
音标：/wɜːrks fɔːr miː/"
"But What do I know? I mean, It's not like I wrote the book on fatherhood.","又不是我写了一本关于如何当父亲的书。

释义：对当父亲很有经验；堪称专家
音标：/roʊt ðə bʊk ɑːn ˈfɑːðərhʊd/"
"You would've stopped that goal if you weren't staring at that little girl.","如果你没有一直盯着那个小女孩，你本来能拦住那个球。

释义：盯着那个小女孩
音标：/ˈsterɪŋ æt ðæt ˈlɪtəl ɡɜːrl/"
"You know Gloria, that blowup with that other mom, why do you have to do things like that? If someone sais somthing about my family, I'm going to - I'm just saying you could take it down here a little bit.","格洛丽亚，你和那位妈妈大吵了一架，你为什么非得这样？

释义：和另一位妈妈爆发争吵
音标：/ˈbloʊʌp wɪð ðæt ˈʌðər mɑːm/"
"- Well yeah, but that's when you live down here but I live up here! You don't have to be so emotional all the time, that's all I'm saying.","你不必总是这么情绪化，我只是这个意思。

释义：总是情绪化
音标：/ɪˈmoʊʃənəl ɔːl ðə taɪm/"
"Manny, you're with me on this, right? - I wanna tell Brenda Feldman I love her.","曼尼，这件事你站我这边，对吧？

释义：在这件事上支持我
音标：/wɪð miː ɑːn ðɪs/"
"Oh, for God's sake.","哦，天哪。

释义：天哪；看在上帝的份上
音标：/fɔːr ɡɑːdz seɪk/"
"- Oh, it's okay for you to take another lover? Watch it! I want to go to the mall where she works.","小心点！

释义：小心点；注意言辞
音标：/wɑːtʃ ɪt/"
"I'm trying whole my life to get it right, I'm still screwing up.","我一辈子都在努力把这件事做好，我仍然会搞砸。

释义：搞砸；犯错
音标：/ˈskruːɪŋ ʌp/"
"Seriously, not to be the evil stepdad, but if you put on a puffy white shirt and declare your love for a 16-year-old you're gonna be swinging from the flagpole in your puffy white underpants! Stop the car! Where you going? You hurt his feelings.","向一个十六岁的女孩表白，你会穿着白色灯笼裤挂在旗杆上晃。

释义：表白；公开表达爱意
音标：/dɪˈkler jɔːr lʌv/"
"- Well, if it toughens him up a little bit, then oh, jeez, he's picking flowers! Manny is verry passionate, just like his father.","如果能让他稍微坚强一点，那就……天哪，他在摘花！

释义：让他变得坚强
音标：/ˈtʌfənz hɪm ʌp/"
"Anyway, I'm happy for you.","总之，我为你高兴。

释义：为你高兴
音标：/ˈhæpi fɔːr juː/"
"It seemed like all what we did was fight and make love.","我们似乎不是吵架就是做爱。

释义：做爱
音标：/meɪk lʌv/"
"One time, I'm not kidding you, we fell out of the window together.","有一次，我没骗你，我们一起从窗户掉了下去。

释义：从窗户掉了下去
音标：/fel aʊt əv ðə ˈwɪndoʊ/"
"Which one were you doing? I'm hearing this for the first time! This doesn't worry you? She barely slept in the plane, and she's stil wide awake.","她在飞机上几乎没睡，现在却还很清醒。

释义：几乎没睡
音标：/ˈberli slept/"
"- Oh, stop worrying! That orphanage, it was all woman.","哦，别担心！那个孤儿院里全是女人。

释义：别担心了
音标：/stɑːp ˈwɜːriɪŋ/"
"Maybe she can't fall asleep unless she feels a woman's shape.","也许她要感受到女人的身形才能入睡。

释义：入睡；睡着
音标：/fɔːl əˈsliːp/"
"And you should know that I'm not here to spit in your face, I'm here to blow at your back.","我不是来朝你脸上吐口水的，我是来在你背后鼓风的。

释义：在背后支持你
音标：/bloʊ æt jɔːr bæk/"
"- What the hell is that suppose to mean? Yes, I've gained a few extra pounds while we expecting the baby.","是的，怀着宝宝的时候我多了几磅。

释义：多了几磅；胖了一点
音标：/ɡeɪnd ə fjuː ˈekstrə paʊndz/"
"But, apparently your body does a nesting, very maternal primal thing, were it retains nutrients.","你的身体似乎在做一个筑巢般的、非常母性的原始反应，会保留营养。

释义：母性的原始本能
音标：/məˈtɜːrnəl ˈpraɪməl θɪŋ/"
"Some sort of molecular physiology thing.","某种分子生理学上的现象。

释义：分子生理学
音标：/məˈlekjələr ˌfɪziˈɑːlədʒi/"
"But that's science, you can't fight it.","但那是科学，你没法抗拒。

释义：无法抗拒它
音标：/kænt faɪt ɪt/"
"You're saying everything.","你嘴上说没什么，其实什么都说明了。

释义：什么都说明了
音标：/ˈseɪɪŋ ˈevriθɪŋ/"
"- Do you wanna meet grandpa? You kidding? She's one of us now! Let me see that little potsticker! Hey, you're a cutie, aren't you! We're from different worlds.","你开玩笑吗？她现在是我们的一员了！

释义：现在是我们的一员了
音标：/wʌn əv ʌs naʊ/"
"Yet we somehow fit together.","我们来自不同的世界，却不知怎么地彼此契合。

释义：彼此契合；合得来
音标：/fɪt təˈɡeðər/"
"Is that us? With wings? We're floating above her, always there to protect her.","我们漂浮在她上方，永远在那里保护她。

释义：漂浮在她上方
音标：/ˈfloʊtɪŋ əˈbʌv hɜːr/"
"Well, that's reassuring, right Lilly? Yeah, we tore you away from everyting you know, but don't worry, things are normal here.","我们把你从熟悉的一切中带走了，但别担心，这里一切正常。

释义：把你强行带走
音标：/tɔːr juː əˈweɪ/"
"Even Pepper pointed it out on the way home from the airport.","连佩珀都在从机场回家的路上指出了这一点。

释义：指出了这一点
音标：/ˈpɔɪntɪd ɪt aʊt/"
"- Okay, that's another one, Pepper! Okay, what's up? I I never told my family we were adopting a baby.","我从没告诉家人我们要领养一个孩子。

释义：从没告诉我的家人
音标：/ˈnevər toʊld maɪ ˈfæməli/"
"- You do? And I don't blame you, I know your family.","我不怪你，我了解你的家人。

释义：不怪你
音标：/doʊnt bleɪm juː/"
"You tell them, they say something judgemental.","你一告诉他们，他们就会说些评判性的话。

释义：爱评判别人的
音标：/dʒʌdʒˈmentəl/"
"Exactly! - You get mad.","你会生气。

释义：生气；发火
音标：/ɡet mæd/"
"I know, and it's supposed to be nothing, but joyful suddenly turns into this huge fight.","本来应该没什么，但喜悦突然变成了一场大吵。

释义：变成
音标：/tɜːrnz ˈɪntuː/"
"Who wants a big emotional scene like that? Thank you, I'm so relieved you understand.","谁会想要那样一场情绪激烈的大戏？

释义：情绪激烈的大场面
音标：/bɪɡ ɪˈmoʊʃənəl siːn/"
"I invited them over for dinner tonight.","我邀请他们今晚来吃晚饭了。

释义：邀请他们来吃晚饭
音标：/ɪnˈvaɪtɪd ðəm ˈoʊvər fɔːr ˈdɪnər/"
"What? - I had to! This would have gone on forever.","我不得不这么做！否则这事会一直拖下去。

释义：一直持续下去；没完没了
音标：/ɡɔːn ɑːn fɔːrˈevər/"
"You're an avoider.","你是个逃避者。

释义：逃避者
音标：/əˈvɔɪdər/"
"And you do have avoidance issues; even Langina said so! Are you really not hearing these names? Don't answer it, i'll get it! Hey, you must be Dylan.","你确实有回避问题，连拉吉娜都这么说！

释义：回避问题；逃避倾向
音标：/əˈvɔɪdəns ˈɪʃuːz/"
"Dylan You're still in High School? - Yeah, I'm a Senior.","迪伦，你还在上高中？——是的，我是毕业班学生。

释义：还在上高中
音标：/stɪl ɪn haɪ skuːl/"
"He is Dylan and he is a seniorand you need to scare him.","他就是迪伦，而且是毕业班学生，你需要吓唬吓唬他。

释义：吓唬他
音标：/sker hɪm/"
"Let me meet this playa.","让我见见这个情场高手。

释义：花花公子；情场高手
音标：/ˈpleɪə/"
"Phil Dunphy, yo! It's like that, you just start down on him and let the eyes do the work.","你要先给他一点脸色，然后让眼神来发挥作用。

释义：让眼神来发挥作用
音标：/let ði aɪz duː ðə wɜːrk/"
"Okay, I've seen you guys- - Wait You two two keep it real? You k'now what it mean, son? Not really.","你们两个保持真实？你知道那是什么意思吗，小子？

释义：保持真实；别装
音标：/kiːp ɪt riːl/"
"- That's cool! Oh, God, that's my back! Ow, oh, I slipped in the baby oil.","哦，天哪，我的背！我踩到婴儿油滑倒了。

释义：踩到婴儿油滑倒
音标：/slipt ɪn ðə ˈbeɪbi ɔɪl/"
"Ooh, where you from originally? I could defeat you if it came to a physical confrontation! I don't know about this, shall I call a doctor? - No, no, no, no.","如果真的动手，我能打败你！

释义：肢体冲突；动手
音标：/ˈfɪzɪkəl ˌkɑːnfrənˈteɪʃən/"
"Okay, nice, nice soft landing Okay, I am on my side, so flip me right back and we're good.","我侧躺着，所以把我翻回去，我们就没事了。

释义：把我翻回去
音标：/flɪp miː raɪt bæk/"
"I just need to get flipped right on my back, we should be fine, so.","我只需要被翻回仰面，我们应该就没事了。

释义：被翻回仰面朝上
音标：/ɡet flɪpt raɪt ɑːn maɪ bæk/"
"- I put my thoughts into words, and now my words into action! 'Ey, I give you 50 bucks not to do this.","我把想法写成文字，现在我要把文字变成行动！

释义：把想法变成话语
音标：/pʊt maɪ θɔːts ˈɪntuː wɜːrdz/"
"Love is what binds us.","爱把我们的心连在一起。

释义：把我们联结在一起
音标：/baɪndz ʌs/"
"You're in such a bad mood.","你心情这么差。

释义：心情这么差
音标：/ɪn sʌtʃ ə bæd muːd/"
"Through fair or stormy weather.","无论风和日丽还是风雨交加。

释义：无论顺境还是逆境
音标：/fer ɔːr ˈstɔːrmi ˈweðər/"
"When you say no like that, it's always yes.","你那样说不的时候，其实总是意思是是。

释义：你那样说不，其实就是是
音标：/wen juː seɪ noʊ laɪk ðæt ɪts ˈɔːlweɪz jes/"
"I stand before you now with only one agenda To let you know my heart is yours, Feldman, Brenda I mean seriously! Luke, so far, he hasn't beaten me at basketball.","我现在站在你面前，只有一个目的。

释义：站在你面前
音标：/stænd bɪˈfɔːr juː/"
"So stop being a gloomy goose, and stop being so hard on Manny.","别做闷闷不乐的人，也别对曼尼那么严厉。

释义：闷闷不乐的人
音标：/ˈɡluːmi ɡuːs/"
"- The only reason I'm hard on Manny is just because I don't wanna see him make a fool of himself.","我对曼尼严厉，只是不想看到他出丑。

释义：让自己出丑
音标：/meɪk ə fuːl əv hɪmˈself/"
"You be there wind in his back, not the spit in his face! What? Something my mom always says, it's gorgeous in Spanish.","你要成为推动他前进的风，而不是朝他脸上吐的口水！

释义：在背后支持他
音标：/wɪnd ɪn hɪz bæk/"
"I gave her my heart.","我把心交给了她。

释义：把心交给了她
音标：/ɡeɪv hɜːr maɪ hɑːrt/"
"Get that! Will you step out of my kitchen! Could you just do me a favour and just grab How's the weather down there? But, when the day comes that he does win, if, you know, if when he beats me.","你能不能离开我的厨房！

释义：离开我的厨房
音标：/step aʊt əv maɪ ˈkɪtʃən/"
"Alex, get out! MOM! Alex, leave your sister alone! I was just getting my book, gosh! - I know sweetie, but you need to respect their privacy.","我知道，宝贝，但你需要尊重他们的隐私。

释义：尊重他们的隐私
音标：/rɪˈspekt ðer ˈpraɪvəsi/"
"So, you know if Haley got pregnant, would you ever pretend she got mono for a few months and then tell everyone the baby's yours? What? A senior at school was out sick for four months, but she was out breastfeeding in an cleanup carwash.","你会不会假装她得了几个月的单核细胞增多症，然后告诉大家孩子是你的？

释义：假装她得了单核细胞增多症
音标：/prɪˈtend ʃi ɡɑːt ˈmoʊnoʊ/"
"How many pairs of underwear do you have on? - One Six.","你穿了几条内裤？

释义：穿着；戴着
音标：/hæv ɑːn/"
"First of all, it would be really cool to see Haley that fat, and how awesome would it be to have a fake little brother who's really my nephew? Haley is not getting pregnant! I'm just saying if.","有一个其实是我外甥的假弟弟，那该多棒？

释义：假弟弟
音标：/feɪk ˈlɪtəl ˈbrʌðər/"
"I know, and I know you like to make trouble for your sister, but it's not gonna work this time.","我知道你喜欢给你姐姐找麻烦，但这次不会得逞。

释义：给你姐姐找麻烦
音标：/meɪk ˈtrʌbəl fɔːr jɔːr ˈsɪstər/"
"I'm just gonna be like, well done! Well done! Just let him, just support him.","我会说，干得好！干得好！

释义：干得好
音标：/wel dʌn/"
"- It's supposed to hurt! And why are you smiling? I'm What? Oh, forget it.","本来就该疼！

释义：本来就该疼
音标：/səˈpoʊzd tə hɜːrt/"
"I think you've learned your lesson.","我想你已经吸取教训了。

释义：吸取了教训
音标：/lɜːrnd jɔːr ˈlesən/"
"Mom?! What are you doing? - Hey, I was just dropping off some laundry, this is a bad time? Yeah Oh, okay.","嘿，我只是来送些要洗的衣服，现在不方便吗？

释义：送洗好的衣服过来
音标：/ˈdrɑːpɪŋ ɔːf səm ˈlɔːndri/"
"one minute you're just friends, watching Falcon Crest, and the next you're lying underneath the air-hockey table with your bra un-pocket! Mom! You hit my bone! - It was an accident! I thought we were friends! - I am your friend! Dad?! Dad, you have got to talk to mom, she is like completely freaking out and emberassing me.","她像完全抓狂了一样，还让我很难堪。

释义：抓狂；情绪失控
音标：/ˈfriːkɪŋ aʊt/"
"What's the key to being a great dad? That's a tough one.","当个好爸爸的关键是什么？这问题可不好回答。

释义：关键；……的秘诀
音标：/ðə kiː tuː/"
"Giving them the freedom to be whatever they want to be Right, exactly, and -- Wha pilot, a president Me And for us, what we're gonna -- Of a company or of a country.","给他们自由，让他们成为自己想成为的人。

释义：做……的自由
音标：/ðə ˈfriːdəm tuː/"
"Well, be their buddy.","那就做他们的好哥们。

释义：做他们的伙伴/哥们
音标：/biː ðer ˈbʌdi/"
"That's your answer? And stay in school.","这就是你的答案？还有要继续上学。

释义：继续上学
音标：/steɪ ɪn skuːl/"
"And don't do drugs.","还有别吸毒。

释义：吸毒
音标：/duː drʌɡz/"
"Desiree just moved in down the block.","Desiree 刚搬到这个街区。

释义：在街区另一头；在附近
音标：/daʊn ðə blɑːk/"
"How did you -- Bet you're loving that steam shower.","你怎么——我猜你很喜欢那个蒸汽淋浴吧。

释义：我猜你很享受
音标：/bet jʊr ˈlʌvɪŋ/"
"I'm a real-estate mogul.","我是个房地产大亨。

释义：房地产大亨
音标：/ˈriːəl ɪˌsteɪt ˈmoʊɡəl/"
