# 六级单词表 · 共 5407 词 · 每 50 词一个单元
# 释义来源：ECDICT（MIT License）https://github.com/skywind3000/ECDICT
单词,音标,中文释义,英文释义
administration,/әd.mini'streiʃәn/,"n. 行政, 管理, 政府机关；[化] 给药",n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)；n. the persons (or committees or departments etc.) who make up a body for the purp…
admiration,/.ædmә'reiʃәn/,"n. 赞赏, 钦佩, 引人赞赏的对象",n. a feeling of delighted approval and liking；n. a favorable judgment
admission,/әd'miʃәn/,"n. 准许进入, 入场费, 录用, 承认；[经] 加入, 入股",n. the act of admitting someone to enter；n. an acknowledgment of the truth of something
adolescent,/.ædәu'lesәnt/,"a. 青春期的, 青少年的；n. 青少年",n. a juvenile between the onset of puberty and maturity；a. relating to or peculiar to or suggestive of an adolescent
adopt,/ә'dɒpt/,"vt. 采用, 正式通过, 收养, 接受；[医] 采取","v. choose and follow; as of theories, ideas, policies, strategies or plans；v. take up and practice as one's own"
adoption,/ә'dɒpʃәn/,"n. 采用, 采纳, 收养；[法] 收养, 采纳, 采用",n. the act of accepting with approval; favorable reception；n. a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privile…
adore,/ә'dɒ:/,"vt. 崇拜, 爱慕, 喜爱；vi. 崇拜, 爱慕",v. love intensely
advance,/әd'vɑ:ns/,"n. 前进, 进展, 行过的路程；vi. 前进, 进展, 提高, 上涨；vt. 使前进, 促进, 提出, 提高, 使提前, 预付；a. 前面的, 预先的",n. an amount paid before it is earned；n. increase in price or value
advantageous,/.ædvәn'teidʒәs/,"a. 有利的, 有益的",a. giving an advantage；s. appropriate for achieving a particular end; implies a lack of concern for fairness
adverse,/'ædvә:s/,"a. 不利的, 敌对的, 相反的, 逆的；[法] 相反的, 敌对的, 逆的",s. contrary to your interests or welfare；s. in an opposing direction
advertise,/'ædvәtaiz/,"vt. 做广告, 通知, 公布；vi. 做广告",v. call attention to；v. make publicity for; try to sell (a product)
advice,/әd'vais/,"n. 忠告, 劝告, 意见, 报道, 通知；[经] 通知书, 通知, 建议",n. a proposal for an appropriate course of action
advisable,/әd'vaizәbl/,"a. 适当的, 明智的",a. worthy of being recommended or suggested; prudent or wise
advise,/әd'vaiz/,"vt. 劝告, 给...出主意, 通知, 建议；vi. 提意见, 商量",v. inform (somebody) of something
advocate,/'ædvәkeit/,"n. 提倡者, 拥护者；vt. 主张, 提倡",n. a person who pleads for a cause or propounds an idea；n. a lawyer who pleads cases in court
aerial,/'єәriәl/,"a. 空中的, 航空的, 空气的, 空想的；n. 天线",a. existing or living or growing or operating in the air
aeroplane,/'єәrәplein/,n. 飞机；[机] 飞机,n an aircraft that has a fixed wing and is powered by propellers or jets
aerospace,/'єәrәuspeis/,"n. 航天空间, 航天技术",n. the atmosphere and outer space considered as a whole
aesthetic,/i:s'θetik/,"a. 美学的, 审美的, 有美感的",n. (philosophy) a philosophical theory as to what is beautiful；a. relating to or dealing with the subject of aesthetics
affair,/ә'fєә/,"n. 事件, 事务, 恋爱事件",n. a usually secretive or illicit sexual relationship；n. a vaguely specified social event
affect,/ә'fekt/,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于；n. 自觉感情",n. the conscious subjective aspect of feeling or emotion；v. have an effect upon
affection,/ә'fekʃәn/,"n. 影响, 病, 喜爱, 情感, 倾向；[医] 疾患, 病变, 病; 感情",n. a positive feeling of liking
affective,/ә'fektiv/,"a. 情感的, 表达感情的；[医] 感情的, 情感的",s characterized by emotion
affiliate,/ә'filieit/,"vt. 使紧密联系, 使附属, 接纳, 收养；vi. 发生联系, 参加",n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization；n. a subsidiary or subordinate organization that is affiliated with another organization
affirm,/ә'fә:m/,"v. 断言, 确认",v. to declare or affirm solemnly and formally as true；v. say yes to
afflict,/ә'flikt/,"vt. 使苦恼, 折磨",v. cause great unhappiness for; distress；v. cause physical pain or suffering in
affluence,/'æfluәns/,"n. 富裕, 丰富, 流注；[医] 丰富, 流入",n. abundant wealth
afford,/ә'fɒ:d/,"vt. 买得起, 足以, 给予",v. be able to spare or give up；v. have the financial means to do something or buy something
afterward,/'ɑ:ftәwәd/,"adv. 然后, 后来",r happening at a time subsequent to a reference time
aggravate,/'ægrәveit/,"vt. 使恶化, 使更严重, 加重",v make worse；v exasperate or irritate
aggression,/ә'greʃәn/,"n. 侵犯, 侵略；[医] 攻击",n. a disposition to behave aggressively；n. a feeling of hostility that arouses thoughts of attack
aggressive,/ә'gresiv/,"a. 侵略的, 挑畔的, 进取的；[法] 侵略的, 爱挑衅的, 行为过火的","a. having or showing determination and energetic pursuit of your ends; positive in his convictions""；s. tending to spread quickly"
agitation,/.ædʒi'teiʃәn/,"n. 激动, 焦虑, 煽动, 搅动, 摇动；[化] 搅拌; 搅拌作用",n. a mental state of extreme emotional disturbance；n. a state of agitation or turbulent change or development
agony,/'ægәni/,"n. 极大的痛苦, 挣扎；[医] 濒死苦闷; 剧痛",n. intense feelings of suffering; acute mental or physical pain；n. a state of acute pain
agreeable,/ә'griәbl/,"a. 令人愉快的, 同意的；[医] 佳适的",a. conforming to your own liking or feelings or nature；s. prepared to agree or consent
agriculture,/'ægrikʌltʃә/,"n. 农业；[机] 农业, 农学",n. the class of people engaged in growing food
aid,/eid/,"n. 帮助, 外援, 助手；vt. 援助, 帮助, 有助于；vi. 帮助；[计] 自动内部诊断",n. a resource；n. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
aim,/eim/,"n. 目标, 瞄准, 击中目标的能力；vi. 对准目标, 致力, 打算；vt. 瞄准；[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块；应用接口模块, 医学人工智能, 相联索引法, 异步接口模块；自动化信息管理, 自动化综合制造, 自动化库存管理",n. the goal intended to be attained (and which is believed to be attainable)；n. the action of directing something at an object
alas,/ә'læs/,interj. 唉,n a flat wing-shaped process or winglike part of an organism；n a wing of an insect
album,/'ælbәm/,"n. 粘贴簿, 唱片套；[医] 白色物",n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc；n. a book of blank…
alert,/ә'lә:t/,"a. 警觉的, 灵敏的, 留心的；n. 警报；vt. 使警觉, 通知, 使意识到",n. condition of heightened watchfulness or preparation for action；n. a warning serves to make you more alert to danger
algebra,/'ældʒibrә/,n. 代数学,n. the mathematics of generalized arithmetical operations
alien,/'eiljәn/,"n. 外国人, 外侨；a. 外国的, 相异的",v. transfer property or ownership；s. not contained in or deriving from the essential nature of something
alignment,/ә'lainmәnt/,"n. 队列, 结盟, 校正；[计] 校准; 对齐; 对准",n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines；n. the act of adjusting or aligning the parts of a device in relation to each other
alike,/ә'laik/,"a. 相似的, 同样的；adv. 一样, 以同样的方式",a. having the same or similar characteristics；r. equally
alive,/ә'laiv/,"a. 活着的, 活泼的, 敏感的, 热闹的",a. possessing life；s. (often followed by `with') full of life and spirit
allegation,/.æli'geiʃәn/,"n. 断言, 主张, 申辩；[法] 声明, 事实陈述, 断言",n. (law) a formal accusation against somebody (often in a court of law)；n. statements affirming or denying certain matters of fact that you are prepared to prove
allege,/ә'ledʒ/,"vt. 宣称, 主张, 提出, 断言；[法] 断言, 指称, 指证",v. report or maintain
allegiance,/ә'li:dʒәns/,"n. 忠贞, 效忠",n. the loyalty that citizens owe to their country (or subjects to their sovereign)
alleviate,/ә'li:vieit/,"vt. 减轻, 使缓和","v provide physical relief, as from pain；v make easier"
alliance,/ә'laiәns/,"n. 联盟, 联合；[法] 同盟, 联盟, 联姻",n. the state of being allied or confederated；n. a connection based on kinship or marriage or common interest
allied,/ә'laid/,"a. 联盟的, 联姻的, 联系起来的",s. related by common characteristics or ancestry；a. of or relating to or denoting the Allies in World War II
allocate,/'ælәukeit/,"vt. 分派, 分配；[计] 分配",v. distribute according to a plan or set apart for a special purpose
allowance,/ә'lauәns/,"n. 津贴, 零用钱, 限额, 折扣, 允许；vt. 定量供应",n. an amount allowed or granted (as during a given period)；n. a sum granted as reimbursement for expenses
alloy,/'ælɒi. ә'lɒi/,"n. 合金；vt. 将...铸成合金, 减低成色；vi. 合铸",n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten；v. make an alloy of
ally,/'ælai. ә'lai/,"n. 同盟者, 同盟国, 助手；vt. 使联盟, 使联合, 使有关系；vi. 结盟",n. a friendly nation；n. an associate who provides cooperation or assistance
alongside,/ә'lɒŋ'said/,"adv. 在旁边, 靠拢着；prep. 在...旁边, 与...在一起",r side by side
alphabet,/'ælfәbit/,n. 字母；[计] 字母表,n. a character set that includes letters and is used to write a language
alter,/'ɒ:ltә/,v. 改变,v. make an alteration to；v. remove the ovaries of
alteration,/.ɒ:ltә'reiʃәn/,"n. 变更, 改动；[医] 变更",n. the act of making something different (as e.g. the size of a garment)
alternate,/'ɒ:ltәnәt/,"a. 交替的, 轮流的, 间隔的；v. 轮流, (使)交替",v. go back and forth; swing back and forth between two states or conditions；v. exchange people temporarily to fulfill certain jobs and functions
alternative,/ɒ:l'tә:nәtiv/,"n. 两者择一, 供替代的选择；a. 两者择一的, 供选择的；[计] 选择对象",s. necessitating a choice between mutually exclusive possibilities；s. pertaining to unconventional choices
altitude,/'æltitju:d/,"n. 高度, 海拔, 高处；[电] 高度",n. elevation especially above sea level or above the earth's surface；n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)
aluminium,/.ælju'miniәm/,n. 铝；a. 铝的,n a silvery ductile metallic element found primarily in bauxite
amateur,/'æmәtә/,"n. 业余爱好者, 外行, 爱好者；[电] 业余家",n. someone who pursues a study or sport as a pastime；n. an athlete who does not play for pay
amaze,/ә'meiz/,vt. 使吃惊,v. affect with wonder
ambassador,/æm'bæsәdә/,"n. 大使；[法] 大使, 使节, 代理",n. a diplomat of the highest rank; accredited as representative from one country to another；n. an informal representative
ambient,/'æmbiәnt/,a. 周围的；n. 周围环境,s. completely enveloping
ambiguity,/.æmbi'gju:iti/,"n. 不明确, 含糊；[计] 二义性; 多义性",n. an expression whose meaning cannot be determined from its context；n. unclearness by virtue of having more than one meaning
ambiguous,/æm'bigjuәs/,"a. 不明确的, 模棱两可的；[法] 意思含糊的, 模棱两可的, 暧昧的",a. having more than one possible meaning；s. having no intrinsic or objective meaning; not organized in conventional patterns
ambition,/æm'biʃәn/,"n. 野心, 志向",n. a cherished desire；n. a strong drive for success
ambitious,/æm'biʃәs/,"a. 有野心的, 抱负不凡的, 雄心勃勃的",a. having a strong desire for success or achievement；s. requiring full use of your abilities or resources
amends,/ә'mendz/,n. 赔偿；[经] 赔偿,n a sum of money paid in compensation for loss or injury；n something done or paid in expiation of a wrong
amid,/ә'mid/,"prep. 在其间, 在其中；[经] 在...中",prep. See Amidst.；prep. In the midst or middle of; surrounded or encompassed by;
ampere,/'æmpєә/,n. 安培；[化] 安培,n. a former unit of electric current (slightly smaller than the SI ampere)；n. the basic unit of electric current adopted under the Systeme International d'Unites
ample,/'æmpl/,"a. 大量的, 充足的, 丰富的",a. more than enough in size or scope or capacity；s. affording an abundant supply
amplify,/'æmplifai/,"vt. 增强, 放大, 扩大, 详述；vi. 引伸",v. increase the volume of
amplitude,/'æmplitju:d/,"n. 广阔, 充足, 幅度；[化] 振幅",n. (physics) the maximum displacement of a periodic wave；n. the property of copious abundance
amuse,/ә'mju:z/,"vt. 消遣, 娱乐, 使发笑","v. occupy in an agreeable, entertaining or pleasant fashion；v. make (somebody) laugh"
amusement,/ә'mju:zmәnt/,"n. 兴味, 娱乐, 消遣；[法] 娱乐, 娱乐活动",n. a feeling of delight at being entertained
analogous,/ә'nælәgәs/,"a. 类似的, 相似的；[医] 类似的, 类同的",s. similar or equivalent in some respects though otherwise dissimilar；a. corresponding in function but not in evolutionary origin
analogue,/'ænәlɒg/,"n. 类似物, 相似情况；[医] 类似物, 同型物, 相似器官, 同功异质体",n. something having the property of being analogous to something else；a. of a circuit or device having an output that is proportional to the input
analogy,/ә'nælәdʒi/,"n. 相似, 类似；[计] 模拟",n. an inference that if things agree in some respects they probably agree in others；n. drawing a comparison in order to show a similarity in some respect
analyse,/'ænәlaiz/,"vt. 分析, 细察, 分解；[经] 分析",v consider in detail and subject to an analysis in order to discover essential features or meaning；v break down into components or essential features
analysis,/ә'nælәsis/,n. 分析；[计] 分析机; 分析员; 分析; 分析程序,n. an investigation of the component parts of a whole and their relations in making up the whole；n. the abstract separation of a whole into its constituent parts in order to study the parts and their…
analyst,/'ænәlist/,"n. 分析者, 精神分析学家；[化] 分析员; 化验员",n. someone who is skilled at analyzing data；n. an expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions
analytic,/.ænә'litik/,"a. 分析的, 善于分析的, 解析的；[医] 分析的","a. using or subjected to a methodology using algebra and calculus；a. using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic princi…"
analytical,/.ænә'litikl/,"a. 分析的, 善于分析的, 解析的；[机] 分析的","a using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)；a of a proposition that is necessarily true independent of fa…"
ancestor,/'ænsestә/,"n. 祖先, 祖宗",n. someone from whom you are descended (but usually more remote than a grandparent)
anchor,/'æŋkә/,"n. 锚；vt. 抛锚停泊, 使固定；[计] 锚",n. a mechanical device that prevents a vessel from moving；n. a central cohesive source of support and stability
ancient,/'einʃәnt/,"a. 古代的, 古老的, 年老的, 旧的",n. a very old person；n. a person who lived in ancient times
ankle,/'æŋkl/,"n. 踝；[医] 踝, 踝关节",n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
anniversary,/æni'vә:sәri/,n. 周年纪念,n. the date on which an event occurred in some previous year (or the celebration of it)
announce,/ә'nauns/,"vt. 宣布, 声称, 显示, 预告；vi. 当报幕员, 宣布参加竞选",v. make known; make an announcement；v. announce publicly or officially
annually,/'ænjuәli/,"adv. 一年一次, 每年；[经] 年度的, 每年的",r. without missing a year
anode,/'ænәud/,n. 阳极；[化] 阳极; 正极,n. a positively charged electrode by which electrons leave an electrical device；n. the negatively charged terminal of a voltaic cell or storage battery that supplies current
anonymous,/ә'nɒnimәs/,"a. 姓氏不详的, 无名的, 无特色的；[计] 无记录",a. having no known name or identity or known source；s. not known or lacking marked individuality
antarctic,/ænt'ɑ:ktik/,"a. 南极的, 南极地带的；n. 南极地区",n. the region around the south pole: Antarctica and surrounding waters
antenna,/æn'tenә/,"n. 天线, 触须, 触角；[化] 天线",n. an electrical device that sends or receives radio or television signals；n. sensitivity similar to that of a receptor organ
anticipate,/æn'tisipeit/,"vt. 预期, 占先, 加速, 提前使用；[医] 提前出现, 先期发生",v. act in advance of; deal with ahead of time；v. realize beforehand
antique,/æn'ti:k/,"n. 古董, 古物；a. 古老的, 古风的, 旧式的, 过时的",n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity；v. shop for antiques
antisocial,/.ænti'sәuʃәl/,"不爱社交的, 反社会的, 有害于公众利益的；[医] 不喜社交的","s. shunning contact with others; just shy""；s. hostile to or disruptive of normal standards of social behavior"
anxiety,/æŋ'zaiәti/,"n. 焦虑, 忧虑, 令人焦虑的事；[医] 焦虑","n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic；n. a vague unpleasant e…"
anxious,/'æŋʃәs/,"a. 忧虑的, 发愁的, 渴望的",s. eagerly desirous；s. causing or fraught with or showing anxiety
apparatus,/.æpә'reitәs/,"n. 装置, 器具, 器官；[化] 仪器; 器械",n. equipment designed to serve a specific function；n. (anatomy) a group of body parts that work together to perform a given function
apparent,/ә'pærәnt/,"a. 清晰可见的, 显然的, 表面上的；[电] 外在的",s. clearly revealed to the mind or the senses or judgment；s. appearing as such but not necessarily so
appeal,/ә'pi:l/,"n. 恳求, 诉请, 上诉, 吸引力；vi. 呼吁, 诉请, 要求, 上诉, 有吸引力；vt. 将...上诉",n. attractiveness that interests or pleases or stimulates；n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision a…
appealing,/ә'pi:liŋ/,"a. 有感染力的, 动人的, 恳求的",a. able to attract interest or draw favorable attention
appendix,/ә'pendiks/,"n. 附录, 附加物, 阑尾；[化] 增补",n. supplementary material that is collected and appended at the back of a book；n. a vestigial process that extends from the lower end of the cecum and that resembles a small pouch
appetite,/'æpitait/,"n. 食欲, 欲望, 爱好；[医] 食欲",n. a feeling of craving something
applaud,/ә'plɒ:d/,"v. 拍手喝彩, 称赞, 赞同",v. clap one's hands or shout after performances to indicate approval；v. express approval of
applause,/ә'plɒ:z/,"n. 鼓掌, 喝彩, 赞许",n. a demonstration of approval by clapping the hands together
appliance,/ә'plaiәns/,"n. 器械, 用具, 应用；[医] 矫正器; 器",n. a device or control that is very useful for a particular job；n. durable goods for home or office use
applicable,/'æplikәbl/,"a. 合适的, 可应用的；[法] 适用的, 适应的",s. capable of being applied; having relevance
application,/.æpli'keiʃәn/,"n. 应用, 申请, 志愿书, 应用程序；[计] 应用, 应用程序",n. the act of bringing something to bear; using it for a particular purpose；n. a verbal or written request for assistance or employment or admission to a school
apply,/ә'plai/,"vt. 涂, 应用；vi. 申请, 适用",v. be pertinent or relevant or applicable；v. ask (for something)
appoint,/ә'pɒint/,"vt. 任命, 指定, 下令；[法] 派, 派任, 任命","v. create and charge with a task or function；v. assign a duty, responsibility or obligation to"
appointment,/ә'pɒintmәnt/,"n. 约会, 委任的职位, 委派；[经] 任命, 派, 指定",n. the act of putting a person into a non-elective position；n. (usually plural) furnishings and equipment (especially for a ship or hotel)
appraisal,/ә'preizәl/,"n. 评价, 估价；[经] 评价, 评估",n. the classification of someone or something with respect to its worth；n. a document appraising the value of something (as for insurance or taxation)
appraise,/ә'preiz/,"vt. 评价, 估价；[经] 评价, 鉴定","v evaluate or estimate the nature, quality, ability, extent, or significance of；v consider in a comprehensive way"
appreciable,/ә'pri:ʃiәbl/,"a. 可感知的, 可评估的",s. enough to be estimated or measured
