# 六级短语表 · 共 3398 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-6 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
be affiliated with,,"与…有来往,加入…",
be alert to,,对……保持警觉：意识到某种可能性或危险，并保持警觉以应对。,
be apart from the context,,脱离上下文,
be attached to,,"附属于, 喜爱",
be aware of,,知道,
be behind bars,,在押：指某人被关押在监狱或拘留所中。,
be beyond one's comprehension,,暂无释义，可打开词卡用有道查询,
be blessed with,,有幸得到...,
be blunt with,,暂无释义，可打开词卡用有道查询,
be blunt with sb.,,暂无释义，可打开词卡用有道查询,
be bound for,,开往,
be bound to,,"肯定,必然,注定;保证做某事,有义务做某事",
be bound to do,/bi baʊnd tu duː/,必须做某事，因为是你的责任：表示某事发生的几率非常高，几乎是肯定的。,
be bound up in,,热心于,
be bound up with,,与...有密切关系,
be cautious about,/bi ˈkɔːʃəs əˈbaʊt/,对……小心谨慎：对某事或某人保持警惕，小心谨慎对待。,
be compatible with,,"适合, 一致",
be compelled to,,"被迫…,不得不…",
be compelled to do,,被迫做某事：由于某种原因，不得不做某事。,
be composed of,,由...组成,
be comprehensive of,,包括，涵盖：指某事物包含或涵盖了所有相关的内容或方面。,
be concerned about,,关心...,
be concerned with,,"涉及..., 与...有关",
be confined to,,"限制, 禁闭",
be confronted with difficulties,,遇到困难；面临困难,
be connected with,,与...相连/联系,
be considerate of,,体谅,
be considerate of one's feelings,,暂无释义，可打开词卡用有道查询,
be consistent with,,与...一致,
be critical of,,不满,
be deceived in sb.,,看错了(某人),
be destructive of,,对……造成极大的损害（或破坏）：指某事物对另一事物造成极大的损害或破坏。,
be detached from,,"与…没有联系,脱离…",
be discontented with sb.,,暂无释义，可打开词卡用有道查询,
be doomed to,,注定要…,
be easy of access,,容易接近；意为“容易接近”,
be economical of,,节俭；节省；节约,
be economical with,,节俭使用：在使用资源、时间或金钱时节约和谨慎。,
be embedded in,,嵌入在…里,
be endowed with,,"天生具有…,赋有…",
be engaged in doing sth.,,"参加,从事,致力于…",
be engaged to do sth.,,暂无释义，可打开词卡用有道查询,
be engaged to sb.,,暂无释义，可打开词卡用有道查询,
be enthusiastic about,,对……充满热情：对某事物或某人感到非常兴奋和热情。,
be equivalent to,,"[计] 等价的, 等效的, 等值的",
be familiar with,,熟悉,
be fed up with,/bi fed ʌp wɪð/,对……感到厌烦,
be filled with,,充满…,
be flush with,,"与...齐平, 与...同高",
be flushed with,,因…而脸红,
be friends with,,与...交友,
be full of,,充满,
be geared to,,以……为目标或对象：指某事物或某活动是为了适应或迎合某种需要、目标或对象而设计或进行的。,
be hard of access,,暂无释义，可打开词卡用有道查询,
be hold captive,,暂无释义，可打开词卡用有道查询,
be identical to,,与...相同,
be identical with,,与...相同,
be immune from taxation,,免除捐税,
be immune to the disease,,对该病有免疫力,
be in awe of,,对……感到敬畏：对某人或某事物感到非常敬畏或惊叹。,
be in circulation,,流通中,
be in debt,/bi ɪn det/,负债：指个人或机构欠债的状态，通常是指欠债超过了自身的财务能力。,
be in for,,"必定遭到, 参加",
be in receipt of,,已收到...,
be in the vein for,,"有心情…,想…",
be indicative of,,"表示..., 提示..., 指示..., 暗示...",
be indifferent to,,对…漠不关心,
be indignant about sth.,,对某事感到愤慨,
be indignant at sth.,,对某事感到愤慨,
be indignant over sth.,,对某事感到愤慨,
be indignant with sb.,,对某人表示愤慨,
be inferior to,,"劣于..., 比...差",
be instrumental in doing sth.,/bi ˌɪnstrəˈmentl ɪn/,在……中起重要作用：指在某个过程或事件中扮演了重要的角色或起到了关键的作用。,
be intent on,,"一心想,专心于,坚持要",
be likely to,,"有可能…,很可能…",
be located,,位于，坐落于；被找到，查明位置（locate 表示“找出…的位置”时的被动形式）,
be low of comprehension,,暂无释义，可打开词卡用有道查询,
be mad about,,"对…着迷,狂热地迷恋…",
be made up of,,由...所组成,
be named after,,以...名字命名,
be obliged to do sth.,,"被迫,不得不…",
be obliged to sb.,,感谢某人,
be obliged to sb. for sth.,,暂无释义，可打开词卡用有道查询,
be off the scent,,失去猎物的臭迹,
be on circuit,,在巡回当中；在巡回中,
be on oath,,暂无释义，可打开词卡用有道查询,
be one's inferior in,,暂无释义，可打开词卡用有道查询,
be overcome with liquor,,喝醉,
be particular about,,"对…很挑剔,过于讲究",
be particular to,,特别注意：指对某事特别关注或特别在意。；特别关注：指对某人或某事特别关注或特别在意。；特别喜欢：指对某物特别喜欢或钟爱。；特别在意：指对某事特别在意或特别重视。,
be peculiar to,,是...所特有的,
be prone to do sth.,,易于做某事：指某人或某事物更容易遭受某种疾病或表现出某种负面特征；趴在地上；比通常更容易经历某种问题。,
be prone to sth.,,暂无释义，可打开词卡用有道查询,
be ready,/bi ˈredi/,准备好，就绪；完成，备妥（饭菜、产品、文件等已完成可交付）；愿意，乐于（做某事）,
be reckless of expenditure,,乱花钱,
be reckless of the consequences,,毫不顾及后果,
be related with,,与……有关：表示两个或多个事物之间存在联系或关联。,
be relevant to,,与...有关,
be responsible for,,"引起..., 是...的原因, 对...起作用, 构成...的一部分；[法] 对...负责",
be restricted to doing sth.,,"仅限于..., 限制在...",
be restricted to sth.,,暂无释义，可打开词卡用有道查询,
be satisfied of,,"确信…,对…深信不疑",
be satisfied with,,对...感到满意,
be saturated with,/bi ˈsætʃəreɪtɪd wɪð/,充满，饱和：指某物或某地充满了某种物质或情感，达到了极限或最大程度。,
be situated in,/bi ˈsɪtʃueɪtɪd ɪn/,位于：指某物或某地点所处的位置。,
be subordinate to,,"次于..., 从属于...",
be taken as,/bi ˈteɪkən æz/,被视为，被理解为，被认为是：指某人或某事物被认为具有某种身份、特征或属性。,
be taken captive,,被俘,
be to blame,,该受责备,
be traced to,/bi treɪst tu/,可以追溯到：指某个事物或现象的起源或根源可以被追溯到某个时间、地点或原因。,
be unanimous in,,在…方面意见完全一致,
be under obligations to,,暂无释义，可打开词卡用有道查询,
be under pledge of secrecy,,誓不泄密,
be under the impression that,,认为：指某人对某事物有一种观念或看法。；以为：错误地相信某事物是真实的或发生的。；误以为：错误地认为某事物是真实的或发生的。,
be used to,,习惯于,
be vulnerable to,,易受...的伤害,
be weary of talking,,暂无释义，可打开词卡用有道查询,
be weary with talking,,暂无释义，可打开词卡用有道查询,
bear down,,"压倒, 击败",
bear down on,,"加压力于, 冲向, 袭击",
bear in mind,,记住,
bear on,,"使难以承受负荷, 有关, 瞄准；[法] 施力压力, 有关系, 有影响",
bear out,,"证实；[法] 证明, 证实, 辩护",
bear testimony to,,"证明..., 证实...；[法] 提供证据, ...作证",
bear up,,"承受, 使振作, 始终忠于, 驶向下风",
bear upon,,"使难以承受负荷, 有关, 瞄准",
bear with,,[法] 忍耐,
beat down,,"打倒, 镇压, 杀价",
beat one's brains out,,竭尽全力：形容一个人尽自己最大的努力去完成某事。,
beat up,,"痛打, 惊扰, 招募, 搅拌；[法] 殴打, 虐待, 杀",
because of,,因为,
become of,,"发生, 结果是",
before long,,不久以后,
beg off,,请求免除,
behind bars,,"[法] 在狱中, 在押",
behind sb.s back,,暂无释义，可打开词卡用有道查询,
behind the scenes,,"在后台, 在幕后；[法] 秘密地, 暗中, 幕后",
behind the times,,过时,
believe in,,"信仰, 信任",
belong to,,属于,
bend over,,俯身于…,
bend over backwards,,"矫枉过正, 拼命",
beneath one's dignity,,不合身分,
beside oneself,,"极度兴奋, 神志失常",
beside the point,,"离题, 不中肯",
better off,,比较富裕; 情况好转,
beyond a doubt,,无可置疑；毫无疑问,
beyond all question,,"毫无疑问, 确定无疑, 无可争辩",
beyond belief,,难以置信,
beyond compare,,无以伦比,
beyond debate,,毋庸置疑：表示某事物是不容置疑的，没有争议的。,
beyond doubt,,[法] 无容置疑,
beyond measure,,"无可估量, 极度",
beyond one's wildest dreams,,超出某人最大幻想：比某人想象中的成功更加成功。,
beyond question,,无可争辩,
beyond repair,,无法修复,
bias against,,对…的偏见/成见：对某个人、群体或事物抱有的不公正的、不利的看法或态度。,
bias toward,,偏袒：对某个人或事物有偏见或偏向的倾向。,
bit by bit,,一点一点,
black and blue,,"青肿的, 淤血的",
blame for,,v. 因（某事）责怪，责备（某人或某事）；把（坏事）归咎于（某人或某事）；（be to blame for sth）对（坏事或问题）负有责任，应受责备；n. （the blame for sth）对（坏事、过失或失败）应负的责任（常与 take、accept、lay、put 等搭配）,
blame on,,把过错、责任等归咎于某人或某事物，即指责或责备某人或某事物导致不良后果（常用 blame sth on sb/sth）；在 put/lay/place/cast/heap (the) blame on sb/sth 等搭配中，指把责任归于某人或某事物,
blame sb.for,,"责备某人…,因…而责怪某人",
blame sb.for sth.,,因某事责怪某人：指因某事情的发生或结果而责怪某人。,
blame sth. on,,把某事的责任归咎于…,
blame sth. on sb.,,将某事归咎于某人：指责某人为某事负责或承担责任。,
blame sth. upon sb.,,暂无释义，可打开词卡用有道查询,
blame upon,,暂无释义，可打开词卡用有道查询,
blaze a trail,,"开辟道路, 在树上作记号指路",
blind to,/blaɪnd tu/,对……视而不见，无视，对……缺乏认识或意识,
block in,,草拟,
block off,,"关闭, 封闭, 封锁",
block up,,"阻碍, 垫高；[机] 停用, 关闭",
blot out,,抹去,
blow up,,"使充气, 爆炸, 放大；[化] 爆发",
board up,,"用木板封住, 用木板隔断",
boast about,,自夸,
boast of,,吹嘘;引以自豪地拥有,
boil down to,,归结为,
boil over,,"沸溢, 发怒；[机] 沸溢",
book in,,"登记住入,签到",
border on,,接壤,
both and,,both…and 的检索式写法：连接两个并列成分，表示两者都包括在内或两种情况同时存在；相当于“既……又……”。,
bounce back,,受挫折后恢复原状; 回声; 卷土重来,
bow out,,躬身送（某人）出门; 放弃做（某事）; 退出,
box in,,"如盒子一般地围起来, 不让…通过",
box inquire,,暂无释义，可打开词卡用有道查询,
branch out,,"长出枝条, 扩展范围",
break away,,"突然离开, 脱离, 放弃",
break away from,,"摆脱,脱离",
break down,,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解；[化] 发生故障",
break even,,"并列起跑, 得失相当；[经] 不赚不赔, 收支相抵",
break in,,"训练, 使经使用逐渐合用, 闯入, 打断",
break into,,"破门而入, 侵占；[法] 破门而入",
break off,,"折断, 突然停止, 脱落, 断绝, 暂停",
break one's heart,,使(某人)很伤心,
break out,,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备；[机] 铸漏",
break the ice,,打破沉默,
break through,,"突围, 突破；[计] 断缺",
break up,,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏",
brim over with,,满溢,
bring about,,"带来, 使掉头",
bring around,,使信服,
bring back,,"拿回来, 使回忆起来, 使恢复",
bring down,,"打倒, 击落, 击败, 降低；[经] 结转, 转下",
bring down the house,,博得满堂喝彩,
bring forth,,使产生,
bring forward,,"提出, 提前；[经] 结转",
bring home to,,让某人比以前更清楚地理解某件事情，尤其是一些不愉快的事情,
bring into being,,使形成,
bring into effect,,"实现, 实施",
bring into operation,,[化] 投入运转,
bring into play,,"使运转, 启用",
bring off,,"救出, 完成",
bring on,,"引起, 导致, 使发展",
bring oneself to,/brɪŋ wʌnˈself tu/,鼓起勇气做某事：强迫自己做某事（通常是不愉快的事情）。,
bring out,,"使显示, 出版, 说出；[经] 包销人公开出售新证券",
bring round,,把（某人或某物）带到约好的地点; 劝说（某人）改变主意[意见]; 说服（某人）; 使恢复知觉,
bring sb. to grief,,"使(某人)遭受不幸, 使(某人)遭难, 使(某人)失败",
bring the house down,,博得满堂喝彩,
bring through,,救活,
bring to,,"使恢复知觉, (使)停驶",
bring to justice,/brɪŋ tu ˈdʒʌstɪs/,使归案：将犯罪嫌疑人或罪犯带到法庭受审判。,
bring to life,,使苏醒,
bring to light,/brɪŋ tu laɪt/,揭示，揭露：将某事物公之于众，使其为人所知。；发现，找到：找到或发现某事物，使其变得可见或为人所知。,
bring to one's knees,,使屈服：通过强大的力量、压力或影响使某人或某事物屈服或无法继续正常运作。,
bring up,,"教育, 培养, 提出, 停下, 呕出",
bring up the rear,,殿后,
bring…to a conclusion,/brɪŋ tu ə kənˈkluːʒn/,结束，终结：将某事物带到结束的状态；结束某事物。,
bristle with,,充满,
brush aside,,"扫除, 漠视",
brush off,,"刷去, 脱落, 除掉",
brush up,,"刷干净, 复习, 提高；[机] 刷新, 擦光",
buck up,,使振作,
budget for,,为…作预算,
budget plan,,[经] 预算方案,
build in,,"嵌入, 插入",
build into,,使成为…的一部分,
build on,,在原有的建筑物上增建; 以…为基础; 依赖; 一心指望,
build up,,"树立, 增进, 增大, 堵塞；[化] 提升力",
build upon,,"指望, 依赖, 建立于",
bump into,,偶然遇见,
bundle up,,"把...捆扎, 使穿暖",
burn down,,"烧成平地, 火力减弱；[机] 烧去, 火力衰退",
burn oneself out,,烧尽,
burn out,,"烧坏, 烧掉, 烧尽；[机] 烧光",
burn up,,"烧起来, 烧掉, 发怒",
burst into,,"闯入, 开出, 突然出现",
burst on,,突然而毫无预警地进入一个房间，打断房间内的人或活动：指突然而毫无预警地进入一个房间，打断房间内的人或活动。,
burst out,,"闯出来, 大声喊, 突发",
burst upon,,突然来到,
but for,,要不是,
but then,,但另一方面,
but then again,/bət ðen əˈɡen/,然而，再说一遍：用于表达对前面所说的话或观点的反驳或重新考虑。,
butt in,,"插手, 干涉",
buy into,,出钱入(某组织或企业),
buy off,,收买；[经] 买通,
buy out,,"出钱使放弃地位；[经] 买下, 买妥, 买下...的全部产权",
buy up,,"全买；[经] 囤积, 收买(公司等), 全买",
by accident,,偶然,
by all means,,"尽一切办法, 一定",
by analogy,,用类推的方法,
by and by,,不久以后,
by and large,,"大体上, 基本上",
by any chance,,万一,
by any means,,无论如何,
by appearances,,根据外表,
by chance,,"偶然, 也许",
by common consent,,"经一致同意,公认",
by comparison,,比较起来,
by comparison with,,与…相比,
by contrast,,"对比起来, 与之相比, 相反地",
by courtesy of,,蒙...好意,
by degrees,,"逐渐地；[机] 渐渐, 逐渐",
by error,,错误地；[法] 错误地,
by estimate,,adv. 估计,
by far,,显然,
by hand,,用手,
by heart,,"凭记忆, 记住",
by installments,/baɪ ɪnˈstɔːlmənt/,分期付款：指将一笔款项分成若干期进行支付的方式。,
by instinct,,出于本能；[法] 出于本能,
by itself,,"单独地,孤零地;独立地",
by leaps and bounds,,非常迅速地,
by little and little,,"一点一点地, 逐渐地",
by means of,,依靠,
by mistake,,由于差错,
by no means,,决不,
by occasion of,,"因为,由于",
by occupation,,职业是…,
by profession,/baɪ prəˈfeʃn/,按职业来说，就职业而言,
by reason of,,"由于, 因为",
by rights,,正当地,
by the book,,按常规,
by the by,/baɪ ðə baɪ/,顺便提及；顺便说一下,
by the same token,,出于同样原因,
by the way,,"在途中, 顺便",
by tradition,,"根据传说, 根据口传",
by trial and error,,"反复试验, 不断摸索",
by turns,,"轮流, 交替",
by virtue of,,"依靠, 由于；[法] 凭藉, 依靠, 由于...",
by way of,,"经由, 作为, 为了；[经] 当作, 为了, 通过",
call back,,"叫回来, 收回, 打回电",
call for,,"叫(某人)来, 要求, 为...叫喊, 为...叫",
call forth,,"引起, 使产生, 使起作用",
call in,,"召集, 召来, 来访；[电] 叫入",
call in question,,[经] 提出异议,
call into question,,对…表示怀疑; 认为有问题,
call it a day,,"收工, 当天的工作干完了.",
call it a night,/kɔːl ɪt ə naɪt/,结束一天的工作或活动：在当前时间回家或上床睡觉。,
call off,,"叫走, 放弃, 使转移走, 依次叫名",
call on,,"号召, 呼吁, 约请, 访问",
call out,,"召唤...行动, 唤起, 大声叫唤",
call sb. in testimony,,传某人作证,
call up,,"召集, 使想起, 提出, 打电话给",
call upon,,"号召, 拜访; 省视",
calm down,,"平静下来, 镇定下来",
