# 考研单词表 · 共 4801 词 · 每 50 词一个单元
# 释义来源：ECDICT（MIT License）https://github.com/skywind3000/ECDICT
单词,音标,中文释义,英文释义
absurd,/әb'sә:d/,"a. 荒谬的, 不合理的, 可笑的；n. 荒诞",n. a situation in which life seems irrational and meaningless；s. inconsistent with reason or logic or common sense
abundance,/ә'bʌndәns/,"n. 丰富, 充足, 大量；[经] 丰富, 充裕",n. the property of a more than adequate quantity or supply；n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
abundant,/ә'bʌndәnt/,"a. 丰富的, 充分的, 大量的",a. present in great quantity
abuse,/ә'bju:s.ә'bju:z/,"n. 滥用, 虐待, 恶习, 辱骂；vt. 滥用, 辱骂, 虐待",n. a rude expression intended to offend or hurt；v. use foul or abusive language towards
academic,/.ækә'demik/,"a. 学院的, 学术的, 不切实际的；n. 大学生, 大学教师, 学者, 学会会员",a. associated with academia or an academy；s. hypothetical or theoretical and not expected to produce an immediate or practical result
academy,/ә'kædәmi/,"n. 学院, 院校, 学会",n. a secondary school (usually private)；n. an institution for the advancement of art or science or literature
accelerate,/әk'selәreit/,"v. 加速, 促进",v. move faster；v. cause to move faster
accent,/'æksәnt/,"n. 重音, 口音, 特点, 注重点；vt. 重读, 加重音号于, 强调",n. distinctive manner of oral expression；n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
accept,/әk'sept/,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍；vi. 同意",v. consider or hold as true；v. receive willingly something given or offered
acceptance,/әk'septәns/,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信；[经] 承兑, 认付, (工程)验收",n. the state of being acceptable and accepted；n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
access,/'ækses/,"n. 通路, 入口, 接近, 进入, 使用权, 发作；vt. 访问, 存取, 接近, 使用；[计] 访问, 存取",n. the right to obtain or make use of or take advantage of something (as services or membership)；n. a way of entering or leaving
accessory,/әk'sesәri/,"n. 附件, 零件, 附加物, 从犯, 同谋；a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的；[计] 附件","n. clothing that is worn or carried, but not part of your main clothing；n. a supplementary component that improves capability"
accident,/'æksidәnt/,"n. 意外事件, 机遇, 事故, 次要方面；[化] 意外事故; 事故",n. an unfortunate mishap; especially one causing damage or injury；n. anything that happens suddenly or by chance without an apparent cause
accidental,/.æksi'dentl/,"a. 意外的, 偶然的, 非主要的, 附属的；n. 临时记号, 次要方面",n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature；s. happening by chance or unexpectedly or unintentionally
acclaim,/ә'kleim/,"n. 喝彩, 欢呼, 赞同；v. 欢呼, 喝彩, 称赞",n. enthusiastic approval；v. praise vociferously
accommodate,/ә'kɒmәdeit/,"vt. 使适应, 调和, 通融, 容纳, 向...提供；vi. 适应",v. provide with something desired or needed；v. have room for; hold without crowding
accommodation,/ә.kɒmә'deiʃәn/,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款；[医] 调节(眼); 适应",n. a settlement of differences；n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
accompany,/ә'kʌmpәni/,"vt. 陪伴, 伴随, 补充, 为...伴奏；vi. 伴奏, 伴唱",v. go or travel along with
accomplish,/ә'kʌmpliʃ/,"vt. 完成, 达到, 实现, 使完美",v put in effect；v to gain with effort
accord,/ә'kɒ:d/,"n. 一致, 调和, 协定；vt. 给与, 使一致；vi. 相符合",n. concurrence of opinion；n. sympathetic compatibility
accordance,/ә'kɒ:dәns/,"n. 一致, 和谐",n. the act of granting rights
accordingly,/ә'kɒ:diŋli/,"adv. 相应地, 因此, 于是",r. in accordance with
account,/ә'kaunt/,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目；vi. 报帐, 解释, 导致, 报偿, 占, 杀死；vt. 认为；[计] 帐户, 帐号",n. a formal contractual relationship established to provide for regular banking or brokerage or business services；n. importance or value
accountant,/ә'kauntәnt/,"n. 会计人员, 会计师；[经] 会计师, 会计人员",n. someone who maintains and audits business accounts
accumulate,/ә'kju:mjuleit/,"v. 积聚, 堆积",v. collect or gather
accuracy,/'ækjurәsi/,"n. 精确, 正确；[计] 准确度",n. the quality of being near to the true value；n. (mathematics) the number of significant figures given in a number
accurate,/'ækjurәt/,"a. 正确的, 精确的；[经] 准确的, 精确的","a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy；s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or tr…"
accuse,/ә'kju:z/,"vt. 指责, 控告, 归咎于；vi. 指责, 控告",v. bring an accusation against; level a charge against
accustom,/ә'kʌstәm/,vt. 使习惯于,v make psychologically or physically used (to something)
accustomed,/ә'kʌstәmd/,"a. 惯常的, 习惯了的",a. (often followed by `to') in the habit of or adapted to；s. commonly used or practiced; usual
ache,/eik/,"n. 疼痛；vi. 痛, 哀怜, 渴望",n. a dull persistent (usually moderately intense) pain；v. have a desire for something or someone who is not present
achieve,/ә'tʃi:v/,"vt. 完成, 达到；vi. 如愿以偿",v. to gain with effort
acid,/'æsid/,"n. 酸, 酸类物质, 尖刻, 迷幻药；a. 酸的, 酸性的, 尖刻的, 敏锐的；[计] 自动文档互参与索引生成程序",n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt；n. street name for lysergic acid diethylamide
acknowledge,/әk'nɒlidʒ/,"vt. 承认, 告知收悉, 答谢, 报偿；[经] 承认, 答谢, 收到的通知","v. report the receipt of；v. express obligation, thanks, or gratitude for"
acquaint,/ә'kweint/,"vt. 使认识, 介绍",v. inform
acquaintance,/ә'kweintәns/,"n. 认识, 相识者",n. personal knowledge or information about someone or something；n. a relationship less intimate than friendship
acquire,/ә'kwaiә/,"vt. 获得, 学到；[电] 目标锁定",v. locate (a moving entity) by means of a tracking system such as radar；v. win something through one's efforts
acquisition,/.ækwi'ziʃәn/,"n. 获得, 获得物；[经] 收购, 招揽, 取得",n. the act of contracting or assuming or acquiring possession of something；n. something acquired
acre,/'eikә/,n. 英亩,n. a unit of area (4840 square yards) used in English-speaking countries；n. a territory of western Brazil bordering on Bolivia and Peru
acrobat,/'ækrәbæt/,"n. 表演特技者, 杂技演员",n. an athlete who performs acts requiring skill and agility and coordination
act,/ækt/,"n. 行动, 行为, 幕, 法案；vi. 行动, 表演, 假装, 见效, 表现, 担当；vt. 扮演, 装作；[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",n. a legal document codifying the result of deliberations of a committee or society or legislative body；n. something that people do or cause to happen
action,/'ækʃәn/,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；vt. 对...起诉；[计] 方式",n. something done (usually as opposed to something said)；n. the state of being active
activate,/'æktiveit/,"vt. 使活动, 使激活, 正式建成；vi. 有活力",v. make active or more active；v. make more adsorptive
active,/'æktiv/,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的；n. 主动语态, 积极分子",n. a person who is a participating member of an organization；a. tending to become more severe or wider in scope
activity,/æk'tiviti/,"n. 活动, 行动, 活跃, 活力；[计] 活动",n. any specific behavior；n. (chemistry) the capacity of a substance to take part in a chemical reaction
actor,/'æktә/,"n. 男演员, 行动者；[医] 作用物, 反应物",n. a theatrical performer；n. a person who acts and gets things done
actress,/'æktris/,n. 女演员,n. a female actor
actual,/'æktʃuәl/,"a. 真实的, 实际的, 现行的；[医] 实际死亡率",a. presently existing in fact and not merely potential or possible；s. taking place in reality; not pretended or imitated
acute,/ә'kju:t/,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的；[医] 急性的; 尖锐的",a. having or experiencing a rapid onset and short but severe course；s. extremely sharp or intense
adapt,/ә'dæpt/,"vt. 使适应, 改编；vi. 适应","v. make fit for, or change to suit a new purpose"
add,/æd/,"vt. 增加, 添加, 附带说明, 计算...总和；vi. 做加法, 积累而成, 增添；[计] 加法","v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of；v. state or say further"
addict,/ә'dikt/,"vt. 使沉溺, 使上瘾；n. 入迷的人, 上瘾者",n. someone who is so ardently devoted to something that it resembles an addiction；n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal sy…
addition,/ә'diʃәn/,"n. 加法, 增加的人(或物)；[计] 加法",n. a component that is added to something to improve it；n. the act of adding one thing to another
additional,/ә'diʃәnәl/,"a. 附加的, 另外的, 额外的；[机] 加添的, 附加的",s further or added
address,/ә'dres/,"n. 住址, 演说, 举止, 灵巧, 求爱；vt. 发表(演说或讲话), 对付, 写地址；[计] 地址, 寻址",n. (computer science) the code that identifies where a piece of information is stored；n. the place where a person or organization can be found or communicated with
adequate,/'ædikwәt/,"a. 适当的, 足够的；[法] 胜任的, 适当的, 充分的",a. having the requisite qualities or resources to meet a task；s. sufficient for the purpose
adhere,/әd'hiә/,"vi. 依附, 粘着, 坚持, 追随, 拥护；vt. 使粘附",v. be compatible or in accordance with；v. follow through or carry out a plan without deviation
adjacent,/ә'dʒeisәnt/,"a. 毗连的, 邻近的, 连接的；[机] 相邻的, 邻位的, 交界的","s. nearest in space or position; immediately adjoining without intervening space；s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut"""
adjective,/'ædʒiktiv/,"n. 形容词；a. 形容词的, 从属的",n. a word that expresses an attribute of something；n. the word class that qualifies nouns
adjoin,/ә'dʒɒin/,"v. 邻接, 毗连",v. attach or add
adjust,/ә'dʒʌst/,"vt. 调整, 使适应于, 校准；vi. 适应于, 被调节, 相互熟悉而适应",v. alter or regulate so as to achieve accuracy or conform to a standard；v. adapt or conform oneself to new or different conditions
administer,/әd'ministә/,"vt. 管理, 料理, 执行；vi. 执行遗产管理人的职责, 给予帮助",v. work in an administrative capacity; supervise or be in charge of；v. perform (a church sacrament) ritually
administrate,/әd'ministreit/,"vt. 管理, 支配",v work in an administrative capacity; supervise or be in charge of
administration,/әd.mini'streiʃәn/,"n. 行政, 管理, 政府机关；[化] 给药",n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)；n. the persons (or committees or departments etc.) who make up a body for the purp…
admire,/әd'maiә/,"vt. 赞美, 钦佩, 爱慕；vi. 称赞, 惊奇",v. feel admiration for；v. look at with admiration
admission,/әd'miʃәn/,"n. 准许进入, 入场费, 录用, 承认；[经] 加入, 入股",n. the act of admitting someone to enter；n. an acknowledgment of the truth of something
admit,/әd'mit/,"vt. 承认, 接受, 允许进入, 容许；vi. 开向, 容许, 承认",v. declare to be true or admit the existence or reality or truth of；v. allow to enter; grant entry to
adolescent,/.ædәu'lesәnt/,"a. 青春期的, 青少年的；n. 青少年",n. a juvenile between the onset of puberty and maturity；a. relating to or peculiar to or suggestive of an adolescent
adopt,/ә'dɒpt/,"vt. 采用, 正式通过, 收养, 接受；[医] 采取","v. choose and follow; as of theories, ideas, policies, strategies or plans；v. take up and practice as one's own"
adore,/ә'dɒ:/,"vt. 崇拜, 爱慕, 喜爱；vi. 崇拜, 爱慕",v. love intensely
adult,/'ædʌlt/,"n. 成人, 成虫；a. 成年的, 成熟的",n. a fully developed person from maturity onward；n. any mature animal
advance,/әd'vɑ:ns/,"n. 前进, 进展, 行过的路程；vi. 前进, 进展, 提高, 上涨；vt. 使前进, 促进, 提出, 提高, 使提前, 预付；a. 前面的, 预先的",n. an amount paid before it is earned；n. increase in price or value
advanced,/әd'vɑ:nst/,"a. 在前的, 高级的, 先进的, 年老的；[法] 预付的, 预支的, 垫付的",s. farther along in physical or mental development；s. comparatively late in a course of development
advantage,/әd'vɑ:ntidʒ/,"n. 优点, 便利, 好处, 优势；vt. 有助于",n. the quality of having a superior or more favorable position；n. (tennis) first point scored after deuce
advent,/'ædvәnt/,"n. 来到, 来临",n. arrival that has been awaited (especially of something momentous)；n. the season including the four Sundays preceding Christmas
adventure,/әd'ventʃә/,"n. 冒险, 冒险经历；v. 冒险",n. a wild and exciting undertaking (not necessarily lawful)
adverb,/'ædvә:b/,n. 副词,n. the word class that qualifies verbs or clauses；n. a word that modifies something other than a noun
adverse,/'ædvә:s/,"a. 不利的, 敌对的, 相反的, 逆的；[法] 相反的, 敌对的, 逆的",s. contrary to your interests or welfare；s. in an opposing direction
advertise,/'ædvәtaiz/,"vt. 做广告, 通知, 公布；vi. 做广告",v. call attention to；v. make publicity for; try to sell (a product)
advice,/әd'vais/,"n. 忠告, 劝告, 意见, 报道, 通知；[经] 通知书, 通知, 建议",n. a proposal for an appropriate course of action
advisable,/әd'vaizәbl/,"a. 适当的, 明智的",a. worthy of being recommended or suggested; prudent or wise
advise,/әd'vaiz/,"vt. 劝告, 给...出主意, 通知, 建议；vi. 提意见, 商量",v. inform (somebody) of something
advocate,/'ædvәkeit/,"n. 提倡者, 拥护者；vt. 主张, 提倡",n. a person who pleads for a cause or propounds an idea；n. a lawyer who pleads cases in court
aerial,/'єәriәl/,"a. 空中的, 航空的, 空气的, 空想的；n. 天线",a. existing or living or growing or operating in the air
aeroplane,/'єәrәplein/,n. 飞机；[机] 飞机,n an aircraft that has a fixed wing and is powered by propellers or jets
aesthetic,/i:s'θetik/,"a. 美学的, 审美的, 有美感的",n. (philosophy) a philosophical theory as to what is beautiful；a. relating to or dealing with the subject of aesthetics
affair,/ә'fєә/,"n. 事件, 事务, 恋爱事件",n. a usually secretive or illicit sexual relationship；n. a vaguely specified social event
affect,/ә'fekt/,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于；n. 自觉感情",n. the conscious subjective aspect of feeling or emotion；v. have an effect upon
affection,/ә'fekʃәn/,"n. 影响, 病, 喜爱, 情感, 倾向；[医] 疾患, 病变, 病; 感情",n. a positive feeling of liking
affiliate,/ә'filieit/,"vt. 使紧密联系, 使附属, 接纳, 收养；vi. 发生联系, 参加",n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization；n. a subsidiary or subordinate organization that is affiliated with another organization
affiliation,/ә.fili'eiʃәn/,"n. 联系, 从属关系；[医] 父权(判定私生儿的父亲)",n. a social or business relationship；n. the act of becoming formally connected or joined
affirm,/ә'fә:m/,"v. 断言, 确认",v. to declare or affirm solemnly and formally as true；v. say yes to
affluent,/'æfluәnt/,"a. 丰富的, 富裕的；n. 支流, 富人",n. an affluent person; a person who is financially well off；s. having an abundant supply of money or possessions of value
afford,/ә'fɒ:d/,"vt. 买得起, 足以, 给予",v. be able to spare or give up；v. have the financial means to do something or buy something
afterward,/'ɑ:ftәwәd/,"adv. 然后, 后来",r happening at a time subsequent to a reference time
against,/ә'geinst/,"prep. 反对, 对着, 倚靠","prep. Abreast; opposite to; facing; towards; as, against the；mouth of a river; -- in this sense often preceded by over."
agency,/'eidʒәnsi/,"n. 代理机构, 经销商, 中介；[化] 办事处",n. an administrative unit of government；n. a business that serves other businesses
agenda,/ә'dʒendә/,"pl. 议程, 日常工作事项；[计] 待议事件",n. a temporally organized plan for matters to be attended to；n. a list of matters to be taken up (as at a meeting)
agent,/'eidʒәnt/,"n. 代理商, 政府代表, 动原, 媒介；[计] 代理程序",n. an active and efficient cause; capable of producing a certain effect；n. a representative who acts on behalf of other persons or organizations
aggravate,/'ægrәveit/,"vt. 使恶化, 使更严重, 加重",v make worse；v exasperate or irritate
aggressive,/ә'gresiv/,"a. 侵略的, 挑畔的, 进取的；[法] 侵略的, 爱挑衅的, 行为过火的","a. having or showing determination and energetic pursuit of your ends; positive in his convictions""；s. tending to spread quickly"
agitate,/'ædʒiteit/,"vt. 使摇动, 搅动, 使激动, 使不安；vi. 鼓动, 煽动","v. try to stir up public opinion；v. cause to be agitated, excited, or roused"
agony,/'ægәni/,"n. 极大的痛苦, 挣扎；[医] 濒死苦闷; 剧痛",n. intense feelings of suffering; acute mental or physical pain；n. a state of acute pain
agreeable,/ә'griәbl/,"a. 令人愉快的, 同意的；[医] 佳适的",a. conforming to your own liking or feelings or nature；s. prepared to agree or consent
agriculture,/'ægrikʌltʃә/,"n. 农业；[机] 农业, 农学",n. the class of people engaged in growing food
aid,/eid/,"n. 帮助, 外援, 助手；vt. 援助, 帮助, 有助于；vi. 帮助；[计] 自动内部诊断",n. a resource；n. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
aim,/eim/,"n. 目标, 瞄准, 击中目标的能力；vi. 对准目标, 致力, 打算；vt. 瞄准；[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块；应用接口模块, 医学人工智能, 相联索引法, 异步接口模块；自动化信息管理, 自动化综合制造, 自动化库存管理",n. the goal intended to be attained (and which is believed to be attainable)；n. the action of directing something at an object
aircraft,/'єәkræft/,"n. 航空器, 飞机；[机] 航空器",n. a vehicle that can fly
airline,/'єәlain/,"n. 航线, 航线的设备, 航空公司",n. a hose that carries air under pressure；n. a commercial enterprise that provides scheduled flights for passengers
aisle,/ail/,"n. 走廊, 侧廊, 过道；[机] 走道",n. a long narrow passage (as in a cave or woods)；n. passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
alarm,/ә'lɑ:m/,"n. 惊恐, 警报, 警钟；vt. 使惊恐, 警告；[计] 报警信号",n. fear resulting from the awareness of danger；n. a device that signals the occurrence of some undesirable event
album,/'ælbәm/,"n. 粘贴簿, 唱片套；[医] 白色物",n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc；n. a book of blank…
alcohol,/'ælkәhɒl/,"n. 酒精, 酒；[化] 醇; 乙醇; 酒精",n. a liquor or brew containing alcohol as the active agent；n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation
alert,/ә'lә:t/,"a. 警觉的, 灵敏的, 留心的；n. 警报；vt. 使警觉, 通知, 使意识到",n. condition of heightened watchfulness or preparation for action；n. a warning serves to make you more alert to danger
alien,/'eiljәn/,"n. 外国人, 外侨；a. 外国的, 相异的",v. transfer property or ownership；s. not contained in or deriving from the essential nature of something
alike,/ә'laik/,"a. 相似的, 同样的；adv. 一样, 以同样的方式",a. having the same or similar characteristics；r. equally
alive,/ә'laiv/,"a. 活着的, 活泼的, 敏感的, 热闹的",a. possessing life；s. (often followed by `with') full of life and spirit
allege,/ә'ledʒ/,"vt. 宣称, 主张, 提出, 断言；[法] 断言, 指称, 指证",v. report or maintain
alleviate,/ә'li:vieit/,"vt. 减轻, 使缓和","v provide physical relief, as from pain；v make easier"
alliance,/ә'laiәns/,"n. 联盟, 联合；[法] 同盟, 联盟, 联姻",n. the state of being allied or confederated；n. a connection based on kinship or marriage or common interest
allied,/ә'laid/,"a. 联盟的, 联姻的, 联系起来的",s. related by common characteristics or ancestry；a. of or relating to or denoting the Allies in World War II
allocate,/'ælәukeit/,"vt. 分派, 分配；[计] 分配",v. distribute according to a plan or set apart for a special purpose
allow,/ә'lau/,"vt. 允许, 同意给予, 承认；vi. 容许, 猜想；[计] 允许命令",v. let have；v. give or assign a resource to a particular person or cause
allowance,/ә'lauәns/,"n. 津贴, 零用钱, 限额, 折扣, 允许；vt. 定量供应",n. an amount allowed or granted (as during a given period)；n. a sum granted as reimbursement for expenses
alloy,/'ælɒi. ә'lɒi/,"n. 合金；vt. 将...铸成合金, 减低成色；vi. 合铸",n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten；v. make an alloy of
ally,/'ælai. ә'lai/,"n. 同盟者, 同盟国, 助手；vt. 使联盟, 使联合, 使有关系；vi. 结盟",n. a friendly nation；n. an associate who provides cooperation or assistance
alone,/ә'lәun/,"a. 孤独的, 单独的, 独自的；adv. 独自地",s. isolated from others；s. lacking companions or companionship
alongside,/ә'lɒŋ'said/,"adv. 在旁边, 靠拢着；prep. 在...旁边, 与...在一起",r side by side
aloud,/ә'laud/,"adv. 出声地, 大声地",r. using the voice; not silently
alphabet,/'ælfәbit/,n. 字母；[计] 字母表,n. a character set that includes letters and is used to write a language
alter,/'ɒ:ltә/,v. 改变,v. make an alteration to；v. remove the ovaries of
alternate,/'ɒ:ltәnәt/,"a. 交替的, 轮流的, 间隔的；v. 轮流, (使)交替",v. go back and forth; swing back and forth between two states or conditions；v. exchange people temporarily to fulfill certain jobs and functions
alternative,/ɒ:l'tә:nәtiv/,"n. 两者择一, 供替代的选择；a. 两者择一的, 供选择的；[计] 选择对象",s. necessitating a choice between mutually exclusive possibilities；s. pertaining to unconventional choices
although,/ɒ:l'ðou/,"conj. 虽然, 尽管",conj. Grant all this; be it that; supposing that;；notwithstanding; though.
altitude,/'æltitju:d/,"n. 高度, 海拔, 高处；[电] 高度",n. elevation especially above sea level or above the earth's surface；n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)
altogether,/.ɒ:ltә'geðә/,"adv. 完全地, 总而言之",r. with everything included or counted
aluminum,/ә'lu:minәm/,n. 铝；[化] 铝Al,n. a silvery ductile metallic element found primarily in bauxite
amateur,/'æmәtә/,"n. 业余爱好者, 外行, 爱好者；[电] 业余家",n. someone who pursues a study or sport as a pastime；n. an athlete who does not play for pay
amaze,/ә'meiz/,vt. 使吃惊,v. affect with wonder
ambassador,/æm'bæsәdә/,"n. 大使；[法] 大使, 使节, 代理",n. a diplomat of the highest rank; accredited as representative from one country to another；n. an informal representative
ambiguous,/æm'bigjuәs/,"a. 不明确的, 模棱两可的；[法] 意思含糊的, 模棱两可的, 暧昧的",a. having more than one possible meaning；s. having no intrinsic or objective meaning; not organized in conventional patterns
ambition,/æm'biʃәn/,"n. 野心, 志向",n. a cherished desire；n. a strong drive for success
ambitious,/æm'biʃәs/,"a. 有野心的, 抱负不凡的, 雄心勃勃的",a. having a strong desire for success or achievement；s. requiring full use of your abilities or resources
ambulance,/'æmbjulәns/,n. 救护车；[医] 救护车,n. a vehicle that takes people to and from hospitals
amend,/ә'mend/,"vt. 修改, 改善, 改良；vi. 改过自新",v. make amendments to
amiable,/'eimjәbl/,"a. 亲切的, 和蔼可亲的；[法] 亲和的, 和蔼可亲的",s. disposed to please
amid,/ә'mid/,"prep. 在其间, 在其中；[经] 在...中",prep. See Amidst.；prep. In the midst or middle of; surrounded or encompassed by;
amount,/ә'maunt/,"n. 总数, 总额；vi. 总计, 等同",n. the relative magnitude of something with reference to a criterion；v. be tantamount or equivalent to
ample,/'æmpl/,"a. 大量的, 充足的, 丰富的",a. more than enough in size or scope or capacity；s. affording an abundant supply
amplifier,/'æmplifaiә/,"n. 扩大的人(物), 放大器, 扩音器；[计] 放大器",n. electronic equipment that increases strength of signals passing through it
amplify,/'æmplifai/,"vt. 增强, 放大, 扩大, 详述；vi. 引伸",v. increase the volume of
amuse,/ә'mju:z/,"vt. 消遣, 娱乐, 使发笑","v. occupy in an agreeable, entertaining or pleasant fashion；v. make (somebody) laugh"
analogue,/'ænәlɒg/,"n. 类似物, 相似情况；[医] 类似物, 同型物, 相似器官, 同功异质体",n. something having the property of being analogous to something else；a. of a circuit or device having an output that is proportional to the input
analogy,/ә'nælәdʒi/,"n. 相似, 类似；[计] 模拟",n. an inference that if things agree in some respects they probably agree in others；n. drawing a comparison in order to show a similarity in some respect
analyse,/'ænәlaiz/,"vt. 分析, 细察, 分解；[经] 分析",v consider in detail and subject to an analysis in order to discover essential features or meaning；v break down into components or essential features
analysis,/ә'nælәsis/,n. 分析；[计] 分析机; 分析员; 分析; 分析程序,n. an investigation of the component parts of a whole and their relations in making up the whole；n. the abstract separation of a whole into its constituent parts in order to study the parts and their…
analytic,/.ænә'litik/,"a. 分析的, 善于分析的, 解析的；[医] 分析的","a. using or subjected to a methodology using algebra and calculus；a. using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic princi…"
ancestor,/'ænsestә/,"n. 祖先, 祖宗",n. someone from whom you are descended (but usually more remote than a grandparent)
anchor,/'æŋkә/,"n. 锚；vt. 抛锚停泊, 使固定；[计] 锚",n. a mechanical device that prevents a vessel from moving；n. a central cohesive source of support and stability
ancient,/'einʃәnt/,"a. 古代的, 古老的, 年老的, 旧的",n. a very old person；n. a person who lived in ancient times
anecdote,/'ænikdәut/,"n. 轶事, 奇闻",n. short account of an incident (especially a biographical one)
anemia,/ә'ni:miә/,"n. 贫血, 贫血症, 无活力；[医] 贫血",n. a deficiency of red blood cells；n. a lack of vitality
angel,/'eindʒәl/,"n. 天使, 守护神, 善人",n. spiritual being attendant upon God；n. invests in a theatrical production
anger,/'æŋgә/,"n. 忿怒；vt. 激怒, 使发怒；vi. 发怒",n. a strong emotion; a feeling that is oriented toward some real or supposed grievance；n. the state of being angry
angle,/'æŋgl/,"n. 角, 角度, 角落；vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度；vt. 使转动角度, 在...钓鱼, 获取",n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians；n. a member of a Germanic people who conquered England and merged with t…
anguish,/'æŋgwiʃ/,"n. 剧痛, 痛苦；vt. 使极痛苦；vi. 感到痛苦",n. extreme mental distress；n. extreme distress of body or mind
ankle,/'æŋkl/,"n. 踝；[医] 踝, 踝关节",n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
anniversary,/æni'vә:sәri/,n. 周年纪念,n. the date on which an event occurred in some previous year (or the celebration of it)
announce,/ә'nauns/,"vt. 宣布, 声称, 显示, 预告；vi. 当报幕员, 宣布参加竞选",v. make known; make an announcement；v. announce publicly or officially
