# 考研短语表 · 共 2843 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · 考研短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
adapt for,,v. 改编或调整（作品、设备等），使其适合新的目的、用途、人群或媒介,
adapt oneself to,/əˈdæpt wʌnˈself tu/,适应：改变自己以适应新的环境、情况或要求。,
adapt to,,适应…;适合…,
add to,,"[机] 加入, 加到",
add up to,,合计达,
addict oneself to,,"v. 沉溺于,使吸毒成瘾",
adhere to,,"执着于,坚持,粘附于,信奉…",
adjust to,,[计] 调整至,
after a while,,过了一会儿,
after all,,毕竟,
against all odds,,尽管情况不利，仍然能够克服困难取得成功,
against all the odds,,尽管形势不利,
agitate for,,鼓吹…,
agree on,,"就…取得一致意见,商定",
agree to,,"同意,赞成…",
agree upon,,"就…取得一致意见,商定…",
agree with,,"同意…,与…意见一致;适应…",
agreeable to,/əˈɡriːəbl tu/,符合某种要求或规定，按照某种方式行事,
agreed account,,同意账户：指在商业活动中，双方就账户的金额、交易等达成一致意见的账户。,
agreement on,,就某个特定议题或领域达成的协议或共识,
ahead of,,在…之前,
ahead of schedule,,提前,
ahead of time,,提早,
aim at,,"瞄准,对准;旨在,目的在于",
aim for,,计划， 打算,
akin to,,类似于,
alien from,/ˈeɪliən frəm/,来自外星的：指来自地球以外的生物或事物。,
alien to,/ˈeɪliən tu/,对……来说是陌生的，与……格格不入的,
all at once,,"突然, 同时；[计] 整批发送",
all but,,"几乎, 差一点",
all in all,,"总而言之, 合计, 头等重要的东西",
all manner of,,各种各类的,
all night long,,整夜,
all of a sudden,,突然,
all over,,"全部结束, 到处, 浑身",
all over again,,"完全重做,从头开始",
all right,,"好, 顺利, 良好的, 正确的",
all round,,"周围, 四处",
all sorts of,,"各种各样,形形色色的",
all the same,,仍然,
all the time,,始终,
allow for,,"虑及, 体谅",
allow of,,容许,
ally with,,与…结盟,
along with,,"与…一道,与…一起,连同…",
alternate between,,交替使用：在两个或多个选项之间交替使用或切换。,
amount to,,"[经] 等于, 相当于",
amuse sb. by doing sth.,,暂无释义，可打开词卡用有道查询,
an average of,,平均数：表示一组数据的平均值。；平均水平：表示某个领域或某个群体的平均水平。,
an once-in-a-life-time opportunity,,暂无释义，可打开词卡用有道查询,
analogous to,,[医]adj.类似于，类同于,
and so forth,,等等,
and so on,,等等,
and then,,"于是, 然后",
and yet,,可是,
answer for,,符合（…需要）; 对…负责; 充当…; 许诺,
anything but,,"单单除...之外, 决不",
apart from,,除了...之外,
appeal to,,[法] 诉诸...,
apply for,,"申请,请求,要求…",
apply oneself to,,致力于,
apply to,,[计] 应用于,
approach to,,接近,
appropriate to,,将（某物）分配给…,
approve of,,"赞成,批准…",
approximate to,,"近于,接近",
argue against,,"反对,为反对…而辩论",
argue for,,"支持,为支持…而辩论",
argue with,,和…辩论,
arise from,,"从…中产生,由…而引起",
arm with,,v. 武装：为战斗或保护而装备武器或工具；装备：为某人或某物提供必要的工具或资源。,
around the clock,,"连续一整天, 连续一昼夜, 二十四小时",
around the corner,,"在拐角处, 在附近, 即将来临",
around the globe,,环球，全球：指在全世界范围内，到处走动或传播。,
arrange for,,"为…作安排,安排某人做…",
arrive in,,"到达,抵达,来到",
as a matter of fact,,事实上,
as a means of,,作为……的手段/方式：用于表达某种手段或方式，通常用于解释某种行为或目的。,
as a result,,结果,
as a result of,,作为结果,
as a rule,,通常,
as a whole,,总体上,
as far as,,"远到, 直到, 至于",
as far as be concerned,,就……而论,
as follows,,如下,
as for,,至于,
as good as,,"和...几乎一样, 实际上等于...",
as if,,好像,
as long as,,只要...,
as often as,,每当,
as often as not,,"往往, 多半",
as opposed to,,"完全不同, 截然相反, 反对, 对照",
as regards,,"关于, 至于",
as though,,"好像, 仿佛",
as to,,"根据,按照,依照;关于,至于,就…而言",
as usual,,照常,
as well,,也,
as well as,,"也, 又",
as yet,,至今仍,
ascribe to,,v. 归于,
aside from,,除...以外,
ask after,,探问,
ask around,,到处打听,
ask for,,"请求, 找(人)",
ask over,,请（某人）来自己家,
ask round,,"邀请(某人)来家(常指短时间的)：；(多方)打听, 询问:",
assert oneself,,坚持自己的权利,
assign to,,[计] 指定到,
associate with,,"与…有联系,和…交往",
assure sb. of sth.,,向某人自信地告知某事是真实的，尤其是为了让他们不担心：指以确保、保证的方式向某人传达某事的真实性，特别是为了让他们放心，消除担忧。,
at a glance,,"看一眼, 一下子",
at a loss,,"困惑, 亏本地",
at a moment's notice,,立即行动：在被告知后立即采取行动。,
at a premium,,"在票面价值以上, 非常珍贵；[经] 溢价, 超过票面以上的价格",
at a profit,,"[经] 赚钱, 获利",
at a standstill,/æt ə ˈstændstɪl/,停滞不前：指某个过程或活动因为某种原因而停止或无法继续进行。,
at a stretch,,一口气地,
at a time,,"每次, 在某时",
at all,,"根本, 完全",
at all costs,,不惜任何代价,
at all events,,无论如何,
at all times,,一直,
at an end,,"结束,终止",
at any price,,无论如何,
at any rate,,"无论如何, 至少",
at best,,最多,
at birth,,在出生时,
at ease,,"安逸, 自由自在; 自然; 心净",
at every turn,,"事事, 经常",
at fault,,"感到困惑, 有故障",
at first glance,,"一看就, 初看, 乍看起来",
at first sight,,乍一看,
at full tilt,,"全速地, 用力地",
at hand,,"在手边, 在附近, 即将到来",
at hazard,,"在危急中, 随便地",
at heart,,在内心里,
at intervals,,"不时, 相隔一定距离",
at issue,,"在争论中, 不和；[法] 在争论中, 系争点",
at its best,/æt ɪts best/,即使以最积极的方式考虑：表示某事物或某人在最佳状态或表现时的情况。,
at large,,"未被捕, 详尽, 普遍；[法] 未被捕的, 逍遥法外的, 详尽的",
at last,,终于,
at least,,至少；[法] 至少,
at leisure,,"空闲着, 从容地",
at length,,"最后, 详细地",
at liberty,,"自由, 有空",
at most,,至多,
at no time,,决不,
at odds,,不一致,
at odds with,,与…不和，与…争吵,
at once,,立刻,
at one time,,"同时, 曾经",
at one's convenience,,"最方便地, 最合适地",
at one's disposal,,[法] 自由处置,
at one's expense,,"归某人付钱, 归某人负担, 由...负担费用, 在损害...的情况下",
at one's wits' end,,"山穷水尽, 不知所措",
at present,,"现在, 目前",
at random,,"胡乱地, 随便地；[法] 任意地, 遂意地",
at risk,,"在危险中,在危急时",
at sea,,"在大海上, 迷茫",
at short notice,,一通知就；[经] 在通知的短期间内,
at stake,,"危如累卵, 在危险中",
at the best,,"至多, 充其量",
at the bottom,,"根本上,实质上,实际上",
at the cost of,,以...为代价,
at the end of,,"在…末尾,在…结束时",
at the end of the day,,归根结底，最终,
at the expense of,,"归...付费, 在损害...的情况下；[法] 归...付费",
at the height of,,在…最盛的时候,
at the instant of,,在......的瞬间：表示在某个特定时刻发生的事情。,
at the latest,,最迟,
at the longest,,至多,
at the mercy of,,受...支配,
at the moment,,此刻,
at the most,,"至多, 最多, 不超过, 充其量",
at the outset,,"开始,起初",
at the outside,,至多,
at the prospect of,,一想到…,
at the rate of,,以……的速度；按照……的比率,
at the rear of,,在……的后面：表示某物或某人在另一物或人的后面。,
at the risk of,,"冒...的危险, 有...的危险/可能",
at the same time,,"同时, 但是",
at the start,,"开始, 起初",
at the thought of,,一想起,
at the time of,,在...的时候,
at the time that,,当,
at the top,,在重要职位上的人拥有许多优势并得到许多好处,
at the very least,,"至少, 起码, 无论如何",
at the worst,,"在最坏的情况下, 在最不利的情况下, 考虑到最不利的方面",
at times,,"有时, 不时",
at will,,"随意, 任意",
at work,,"在工作, 在运转",
at worst,,在最坏的情况下,
attach importance to,,重视,
attach oneself to,,"依附, 参与",
attach to,,"（使）贴[系, 粘]在…上; （使）相关; （使）牵连; （使）依附",
attached to,,系在、固定在或连接在另一物体上；附属于、隶属于（某机构或部门）；喜爱、依恋，对（人、事物或想法）有感情；也指执着于某个观念或想法，坚信其有价值；与…相关联，随…而来的（利益、风险、属性等）,
attempt to,,尝试，企图; 试图做某事,
attend to,,处理; 注意; 听取; 致力于,
attitude toward,,对……的态度,
attitude towards,,态度，看法,
attract one's attention,,引起某人的注意,
attribute to,,v. 归因于,
avail of,,v. 利用,
avail oneself of,,利用,
available for,,可用于……的，可供……使用的，可供……获得的；对……有效的，在限定时间内可用的；（人）能参加……的，有空做……的,
away from,,"离开,远离,脱离,不在",
back and forth,,来回地,
back away,,逐渐后退,
back down,,"放弃要求, 取消前言",
back of,,在…后面;在…以前;是…的起因,
back off,,后退,
back out,,"停止不干, 食言；[法] 收回, 不再担保, 不承认",
back up,,"支持, 倒退, 给...装上背衬",
bad debt,,[会计] 坏帐；[会计] 呆帐,
badly off,,"穷的, 缺少的",
bang against,/bæŋ əˈɡenst/,撞击：指某物与另一物发生强烈碰撞的动作或过程。,
bang into,/bæŋ ˈɪntu/,撞上：意外地与某物或某人发生碰撞。,
bank on sb.,,暂无释义，可打开词卡用有道查询,
bank on sth.,,暂无释义，可打开词卡用有道查询,
bargain for,,"指望, 想以廉价买",
bargain on,,"指望,预料",
base on,,v. 基于,
be able to,,"能, 会",
be about to,,即将,
be abreast of,,保持与...并列,
be abreast with,,暂无释义，可打开词卡用有道查询,
be absent from,,缺席,
be absorbed in,,"全神贯注于, 专心于",
be abundant in,,"富于,有很多",
be accused of,,被指控：指某人被他人指责或控告犯有某种错误、罪行或不当行为。,
be accustomed to,,习惯于,
be adapted to,/bi əˈdæptɪd tu/,适应于：改变以适应新的情况或环境。,
be addicted to,,沉迷于…,
be adequate for,,足够满足某种需求或要求：能够提供足够的数量、质量或能力以满足特定的需求或要求。,
be adjacent to,,"与…毗邻,靠近….",
be advisable to do,,暂无释义，可打开词卡用有道查询,
be alien from,,与…相异,
be alien to,,与...不同,
be annoyed with,/bi əˈnɔɪd wɪð/,对……感到恼怒：感到对某人或某事感到生气、烦恼或不满。,
be applicable to,,适用于...,
be appropriate for,,"适合,适用于",
be ashamed of,,"感到羞耻, 惭愧",
be associated with,,和…联系在一起; 与…有关,
be attached to,,"附属于, 喜爱",
be aware of,,知道,
be away from,/bi əˈweɪ frəm/,远离某物或某人：不在某个地方或不接触某个人。,
be beneficial to,,有益于,
be better off,,境况好,
be biased against,,对……持有偏见：对某人或某事持有偏见，不公正地对待或评价。,
be blind to,,看不见...,
be bothered with,,被困扰或被打扰：感到烦恼或不舒服，因为某事或某人打扰了你。,
be bound to,,"肯定,必然,注定;保证做某事,有义务做某事",
be bound up with,,与...有密切关系,
be busy with,/bi ˈbɪzi wɪð/,忙于：指某人正在进行或专注于某项活动或任务。,
be capable of,,能够,
be cautious about,/bi ˈkɔːʃəs əˈbaʊt/,对……小心谨慎：对某事或某人保持警惕，小心谨慎对待。,
be central to,,"是…的核心,对…是重要的",
be certain of,,确信,
be characterized by,,"具有...的特性, 其特性为...",
be charged with,,"装满, 承担, 被控告；[法] 负...责任, 受...指控",
be comparable to,,"与...可比较的, 比得上...的",
be comparable with,,"与...可比较的, 比得上...的",
be compatible with,,"适合, 一致",
be composed of,,由...组成,
be concerned about,,关心...,
be concerned with,,"涉及..., 与...有关",
be confident in,,信任...,
be confident of,,确信...,
be confronted with,,面临,
be conscious of,,意识到...,
be considered as,,被认为/看作是...,
be consistent with,,与...一致,
be content with,,以...为满足,
be contrary to,,与...相反,
be correlated with,,与...有关/相联系,
be critical of,,不满,
be crucial to,,对……至关重要：表示某事对于另一件事的重要性或必要性。,
be curious about,,对...感到好奇,
be deemed as,/bi diːmd æz/,被视为：被认为是某种特定的事物或具有某种特定的身份或地位。,
be deficient in,,缺少...,
be dependent on,,"依靠, 依赖",
be dependent upon,,"取决于..., 依...而定",
be deprived of,,"被剥夺了…,失去…",
be designed to do,,被设计用于做某事：指某物或某人被特意设计或创造出来以完成特定的任务或目标。,
be different from,,"与…不同,和…不一样",
be diligent in,,勤于：指在某个活动或任务中保持努力和坚持不懈的态度。,
be disappointed at,,对…感到失望,
be dissatisfied at,,对...不平,
be dissatisfied with,,对…不满意,
be distinct from,,与…不同,
be distracted by,,被……分心：因为某种原因而无法集中注意力或专注于某件事情。,
be divided into,/bi dɪˈvaɪdɪd ˈɪntə/,被分成，被划分为：指将某物分成若干部分或分类。,
be dominant over,,暂无释义，可打开词卡用有道查询,
be doomed to,,注定要…,
be doubtful about,/bi ˈdaʊtfl əˈbaʊt/,对……表示怀疑：对某事持怀疑态度，不确定或不相信其真实性或可靠性。,
be eager to,,盼望，渴望要做……,
be eager to do,,渴望(做)...,
be easy of access,,容易接近；意为“容易接近”,
be eligible for,,"适合…,有资格…",
be enrolled in,,"v. 入伍,入学",
be enthusiastic about,,对……充满热情：对某事物或某人感到非常兴奋和热情。,
be entitled to,,[法] 有资格或权利...,
be envious of,,"忌妒, 羡慕",
be equal to,,"胜任, 相等, 合适",
be equipped for,,为……做好准备：准备好必要的工具、装备或技能以应对某种情况或任务。,
be equivalent to,,"[计] 等价的, 等效的, 等值的",
be essential to,/bi ɪˈsenʃl tu/,对……至关重要：表示某事对于另一件事情的重要性或必要性。,
be exhausted from,,因为……而筋疲力尽：感到非常疲劳或精疲力竭，通常是由于某种活动、工作或情绪状态引起的。,
be exposed to,,"[计] 曝光, 曝露",
be faced with,,"面对,面临着…",
be familiar to,,对…熟悉的,
be familiar with,,熟悉,
be fascinated by,/bi ˈfæsɪneɪtɪd baɪ/,被……迷住：对某事物或某人感到极度的兴趣和吸引，无法自拔。,
be fascinated with,/bi ˈfæsɪneɪtɪd wɪð/,被……迷住：对某事物感到极大的兴趣和吸引，无法自拔。,
be fearful of,,害怕,
be fed up,,"吃得过饱, 极厌倦",
be fed up with,/bi fed ʌp wɪð/,对……感到厌烦,
be filled with,,充满…,
be fit to,,是合适的：指某人或某物具备适合某种情况或目的的条件或特征。,
be fond of,,"喜爱, 爱好",
be forced to,,被迫：指在某种情况下，由于外部压力或强制性要求，不得不做某事。,
be friends with,,与...交友,
be generous to,,对某人慷慨大方：表达对某人非常友善、慷慨等的态度。,
be good for,,"值得, 有效",
be grounded in,,基于某事物牢固建立的：指某事物的基础、根源或原则是某个特定的事物或概念。,
be happy with,,对……感到满意或高兴：表示对某事物或某人感到满意或高兴。,
be identical to,,与...相同,
be identical with,,与...相同,
be ignorant of,,不知道,
be immersed in,,陷于,
be immune from,/bi ɪˈmjuːn frəm/,免受影响/免疫于：不受某种事物的影响或攻击，具有抵抗力或免疫力。,
be immune to,,"对...有免疫力, 可避免..., 不受...的影响",
be implicit in,,固有的,
be in shape,/bi ɪn ʃeɪp/,保持身材：指保持良好的身体状态和健康。；保持健康：指保持良好的身体健康和体能。,
be in the mood,,心情愿意：指某人当前的情绪状态，表示愿意或有兴趣做某事。；有心情：指某人当前的情绪状态，表示有某种心情或情感。,
be in the mood for sth.,,暂无释义，可打开词卡用有道查询,
be inclined to,,"倾向于..., 有...的趋势",
be inclined to do,/bi ɪnˈklaɪnd tu duː/,倾向于做某事：表示某人或某事有一种倾向或趋势去做某事。,
be inclusive of,,包括…,
be independent of,,"独立于...之外, 不受...支配, 与...无关, 不依赖...",
be indicative of,,"表示..., 提示..., 指示..., 暗示...",
be indifferent to,,对…漠不关心,
be indignant at,,对…愤怒,
be indignant with,,暂无释义，可打开词卡用有道查询,
be indispensable for,,对……必不可少：用于表示某个事物对于某个人或某个情境是非常重要或必不可少的。,
be indispensable to,,v. 必需,
be inferior to,,"劣于..., 比...差",
be injurious to,,对……有害：对某人或某物造成伤害或危害。,
be innocent of,,"没有...的, 无...的",
be instrumental in,/bi ˌɪnstrəˈmentl ɪn/,在……中起重要作用：指在某个过程或事件中扮演了重要的角色或起到了关键的作用。,
be intent on,,"一心想,专心于,坚持要",
be interested in,,对…很感兴趣,
be involved in,,涉及，专心; 卷入,
be irrelevant to,/bi ɪˈreləvənt tu/,与……无关：指某事物与另一事物没有关联或联系。,
be irrespective of,,不顾；不顾…,
be isolated from,/bi ˈaɪsəleɪtɪd frəm/,与……隔离：被隔离或分离出来，与其他人或事物保持距离。,
be jealous of,,妒嫉,
be junior to,,比……年轻：在年龄上比某人年轻。,
be keen on,,喜爱,
be keen to do,,想做,
be known as,,被认为是,
be known for,,因...而众所周知,
be lack of,,暂无释义，可打开词卡用有道查询,
be liable for,,"有...责任, 有...义务",
be liable to,,"该受(罚), 应遵守..., 有...的倾向, 易于...",
be likely to,,"有可能…,很可能…",
be loyal to,,忠于...,
be made of,,由...所组成,
be made up of,,由...所组成,
be marked by,,以……为特征，以……为标志：指某事物或某人具有某种特征或标志。；被……所标记，被……所强调：指某事物或某人被某种特征或标志所标记或强调。,
be married to,,"和…结婚,嫁给",
be meant to,/bi ment tu/,意味着，表示：代表某事物，如一个想法、思想或事实。；注定要：表示某事是命中注定或计划好的，通常用于描述某人或某事的目的或预期结果。,
be nervous about,,对……感到紧张或焦虑：指对某事或某人感到紧张、焦虑或担心。,
be objective about,,暂无释义，可打开词卡用有道查询,
be obliged to,,不得不; 只得; 必须,
be obsessed with,,被…困扰,
be of…importance,,非常重要：认为某事非常重要并以此为准则行事。,
be on a diet,,"进规定的饮食, 节食",
be on the wrong planet,,暂无释义，可打开词卡用有道查询,
be open to,,"对...开放, 愿接受...的",
be opposed to,,"反对..., 与...相对",
be optimistic about,,对……持乐观态度：对某事物或某种情况持有积极、乐观的看法或态度。,
be packed with,,"挤满..., 装满..., 塞满...",
be partial to,,"对...偏袒的, 对...过分错爱的",
be peculiar to,,是...所特有的,
be popular with,,为...所喜欢,
be prepared for,,为…作好了准备,
be proficient in,,"熟练, 精通",
be prone to,,"有...的倾向, 易于",
be proud of,,"自豪, 高兴",
be puzzled about,,对……感到困惑：对某事或某人感到困惑、迷惑或不理解。,
be puzzled by,,被……困惑：对某事感到困惑或不理解。,
be regarded as,,被视为：被认为是某种特定的事物或具有某种特定的身份、地位或属性。,
be relevant to,,与...有关,
be reluctant to do,/bi rɪˈlʌktənt tu duː/,不情愿做某事：表示不愿意或不愿意做某事的态度。,
be remarkable for,,因…而引人注意,
be resistant to,,"抵抗...的, 对...有耐药力的",
be responsible for,,"引起..., 是...的原因, 对...起作用, 构成...的一部分；[法] 对...负责",
be rigorous with,,暂无释义，可打开词卡用有道查询,
be satisfied with,,对...感到满意,
be scheduled for,,"订于…,定于…",
be second to,/bi ˈsekənd tu/,次于，仅次于：在某方面或某种程度上排名第二；不如某人或某物。,
be secondary to,,次要于，不如……重要：指某事物在重要性上不如另一事物，居于次要的地位。,
be sensitive to,,"敏感, 灵敏",
be sick of,,"厌恶, 厌倦",
be skeptical about,,对……持怀疑态度：表示对某事物或某人持怀疑、不相信的态度。,
be skeptical of,,对……持怀疑态度：对某事持怀疑、不相信的态度。,
be skillful at,,擅长...,
be skillful in,,擅长...,
be soft on,,喜欢某人或爱某人,
be stubborn about,,暂无释义，可打开词卡用有道查询,
be stuck in,/bi stʌk ɪn/,困住；陷于,
be stuck with,/biː stʌk wɪð/,被困在某种不愉快或不理想的情况中，无法改变或摆脱：指被迫接受或忍受某种不愉快的情况，而无法改变或逃避。；被迫承担某种责任或后果，无法逃避：指被迫承担某种责任或后果，无法逃避。,
be subject to,,"受支配, 从属于, 可以...的, 常遭受...",
be suitable for,,"适合…,适用于…",
be suited for,,适合…,
be suited to,/bi ˈsuːtɪd tu/,适合于：指某人或某物具备适应某种情况或环境的条件。,
be superior to,,"优于…,胜过…,比…更优越;不受…影响,不为…所动",
be supposed to,,"应该, 被期望",
be sure of,,"确信..., 肯定..., 对...有把握",
be susceptible to,,"易患..., 对...敏感",
be suspicious of,,怀疑,
be tempted to do,,受诱惑做某事：感到有强烈的欲望或诱惑去做某事。,
be terrified at,,被...吓了一跳,
be terrified with,,被...吓了一跳,
be the talk of,,暂无释义，可打开词卡用有道查询,
be tired of,,厌烦,
be to blame,,该受责备,
be tolerant of,,"忍耐,容忍,对…有忍耐力",
be typical of,,是...的特点,
be unaware of,,"不知道, 不注意",
be unfamiliar with,,"不熟悉…,对…很陌生",
be unlikely to,,不大可能(做)...,
be unprepared for,,对……无准备的,
be unwilling to do,/bi ʌnˈwɪlɪŋ tu duː/,不愿意做某事：指对某事或某行为缺乏主动性或积极性，不情愿去做。,
be up to,,"胜任,达到,由…负责",
be up to sb.,,对某人来说足够好以进行特定活动：指某人具备足够的能力、条件或资格来进行特定的活动或任务。,
be urged to,,被敦促做某事：受到强烈的建议或劝告，被鼓励或要求去做某事。,
be used to do,/bi juːzd tu duː/,被用于做某事：表示某物或某种方法被用于完成某项任务或达成某个目的。,
be validated by,,被…验证；被„验证,
be vulnerable to,,易受...的伤害,
be weary of,,"厌烦, 不耐烦",
be willing to,,愿意(做)...,
be willing to do,/bi ˈwɪlɪŋ tu duː/,愿意做某事：如果需要，乐意去做某事。,
be worse off,,处境更糟：比之前的情况更糟糕或更困难。,
be worth doing,,值得做……,
be worthwhile to,,值得做某事：表示某件事情值得去做，具有一定的意义和价值。,
be worthy of,,"值得,应得到",
bear a similarity to,,与……相似,
bear in mind,,记住,
bear out,,"证实；[法] 证明, 证实, 辩护",
bear up,,"承受, 使振作, 始终忠于, 驶向下风",
bear…a spite,,暂无释义，可打开词卡用有道查询,
beat about the bush,,旁敲侧击,
beat around the bush,,"转弯抹角, 旁敲侧击, 拖延谈及正题",
beat sb. to the punch,,"抢在某人之前行动,先下手为强",
beat…to the punch,/biːt tu ðə pʌntʃ/,先下手为强：比喻在竞争中抢先一步，占据优势地位。；抢在前面：比喻在某个行动或事件之前先行动。,
because of,,因为,
bed down,,"安排(人/动物)舒服地睡觉, 使自己舒服地睡觉",
before long,,不久以后,
begin with,,"以…开始,首先",
behave oneself,,"使举止规矩, 使运转正常",
behind one's back,,"在(某人)背后, 背着(某人)",
behind schedule,,落后于预定计划,
behind the scenes,,"在后台, 在幕后；[法] 秘密地, 暗中, 幕后",
believe in,,"信仰, 信任",
belong to,,属于,
bend over backwards,,"矫枉过正, 拼命",
bend over backwards to do,,暂无释义，可打开词卡用有道查询,
benefit by,,"得益于…,从…中获得好处",
benefit from,,从…获利,
beside the point,,"离题, 不中肯",
bet on,,v. 打赌,
between jobs,,失业、待业：委婉的说法，指某人目前没有工作，通常作表语，常暗含正在寻找下一份工作。,
beyond all question,,"毫无疑问, 确定无疑, 无可争辩",
beyond description,,"无法形容,难以名状",
beyond dispute,,"没有争论余地, 无疑地；[法] 不可争辩",
beyond expression,,无法表达,
beyond one's ability,,超越某人的能力；超出某人的能力；力不能胜,
beyond one's comprehension,,超出某人的理解能力：某事对某人来说无法理解，指超出了某人的认知范围。,
beyond question,,无可争辩,
beyond the capability of,,暂无释义，可打开词卡用有道查询,
beyond the dreams of,,超出梦想之外：形容某事物非常出乎意料，超出了人们的想象和期望。,
beyond words,,难以言表：无法用言语表达的强烈情感或感受。,
bid for,,"要求,争取,投标,出价竞买",
bid up,,哄抬(价钱)；[法] 哄抬,
bite one's nails,,焦虑不安：形容一个人因为担心或紧张而咬指甲。,
blame on,,把过错、责任等归咎于某人或某事物，即指责或责备某人或某事物导致不良后果（常用 blame sth on sb/sth）；在 put/lay/place/cast/heap (the) blame on sb/sth 等搭配中，指把责任归于某人或某事物,
blame sb. for sth.,,因某事责怪某人：指因某事情的发生或结果而责怪某人。,
blast off,,点火起飞,
blow up,,"使充气, 爆炸, 放大；[化] 爆发",
blunder about,,暂无释义，可打开词卡用有道查询,
blunder around,,暂无释义，可打开词卡用有道查询,
blunder on,,"偶然找到,偶然发现",
blunder upon,,偶然碰见：指无意中发现某事物或遇到某人。；无意中发现：指在没有特定目的的情况下偶然发现某事物。,
boast about,,自夸,
boast of,,吹嘘;引以自豪地拥有,
body of,,后接名词构成搭配：body of water 指水域，水体；body of work 指某人创作的全部作品，作品全集；body of evidence、body of people、body of law 等指聚合而成的整体，如大量证据、一群人、一套法律等；后接人或动物名词时指其身体，若指死者则为遗体、尸体；后接车辆、乐器、文本等时指其主体，如机身、车身、琴身、正文。,
boil down to,,归结为,
bombard with,,向某人连续发出很多事物，尤其是提出很多问题，以至于他们难以应对,
book value,,帐面价值；[经] 帐面价借,
boot up,,[计]引导，启动,
bottom line,,"n. 概要, 账本底线",
bounce back,,受挫折后恢复原状; 回声; 卷土重来,
bound for,,驶往,
box office,,"票房, 票房收入",
branch off,,分叉,
branch out,,"长出枝条, 扩展范围",
break a promise,,"不守诺言；[法] 违反诺言, 违约",
break away,,"突然离开, 脱离, 放弃",
break away from,,"摆脱,脱离",
break down,,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解；[化] 发生故障",
break in,,"训练, 使经使用逐渐合用, 闯入, 打断",
break into,,"破门而入, 侵占；[法] 破门而入",
break off,,"折断, 突然停止, 脱落, 断绝, 暂停",
break out,,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备；[机] 铸漏",
break out of,,逃脱，突破，摆脱：指成功逃离或摆脱某种限制、困境或约束。；突然发生，爆发：指某种情况或事件突然发生或爆发。；打破常规，突破限制：指超越传统或常规，突破限制或约束。,
break the back of,,"毁坏…,伤害…的要害;完成…最困难的部分",
break through,,"突围, 突破；[计] 断缺",
